Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
55514,56368,1351,-1566,-3349,7,-164.0,-41.0
55530,56369,1469,-1544,-3404,20,-115.0,-56.0
55546,56370,1419,-1526,-3352,0,-96.0,-54.0
55563,56371,1344,-1584,-3338,86,39.0,-54.0
55578,56372,1380,-1546,-3416,66,-409.0,31.0
55594,56373,1413,-1518,-3367,-3,-60.0,-13.0
55610,56374,1430,-1529,-3365,51,-298.0,12.0
55626,56375,1317,-1592,-3267,-5,-178.0,-10.0
55642,56376,1504,-1563,-3490,8,-395.0,2.0
55658,56377,1465,-1555,-3293,-18,-346.0,-5.0
55674,56378,1592,-1575,-3354,-4,-220.0,-23.0
55690,56379,1505,-1561,-3337,-55,-197.0,-40.0
55706,56380,1412,-1549,-3354,0,-314.0,-19.0
55722,56381,1449,-1566,-3430,-79,-245.0,-13.0
55738,56382,1503,-1535,-3369,-12,-259.0,-55.0
55754,56383,1471,-1569,-3318,10,-258.0,-50.0
55770,56384,1511,-1518,-3367,6,-209.0,-46.0
55786,56385,1491,-1560,-3358,-5,-208.0,-57.0
55802,56386,1513,-1561,-3374,-7,-197.0,-64.0
55818,56387,1479,-1547,-3364,5,-144.0,-50.0
55834,56388,1513,-1545,-3319,25,-160.0,-17.0
55850,56389,1501,-1562,-3355,-8,-204.0,1.0
55866,56390,1562,-1575,-3359,-12,-82.0,6.0
55882,56391,1537,-1557,-3298,13,-121.0,11.0
55898,56392,1515,-1571,-3277,28,-36.0,-1.0
55914,56393,1498,-1595,-3353,65,-65.0,-10.0
55930,56394,1498,-1565,-3291,72,-45.0,-1.0
55946,56395,1520,-1586,-3319,71,-7.0,-13.0
55962,56396,1480,-1542,-3307,80,-65.0,-7.0
55978,56397,1455,-1565,-3380,67,-55.0,-2.0
55994,56398,1508,-1546,-3362,77,-91.0,6.0
56010,56399,1508,-1530,-3332,67,-66.0,15.0
56026,56400,1502,-1550,-3328,104,-27.0,27.0
56042,56401,1524,-1561,-3313,120,40.0,34.0
56058,56402,1518,-1533,-3291,141,41.0,32.0
56074,56403,1466,-1542,-3319,176,-15.0,38.0
56090,56404,1484,-1521,-3433,147,15.0,11.0
56106,56405,1480,-1518,-3294,137,82.0,-19.0
56122,56406,1520,-1479,-3498,73,-53.0,-23.0
