Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
26724,29993,1241,-1085,-3615,31,-40.0,-36.0
26740,29994,1242,-1089,-3609,31,-53.0,-40.0
26756,29995,1210,-1084,-3643,36,-45.0,-33.0
26772,29996,1205,-1057,-3645,19,-88.0,-9.0
26788,29997,1202,-1086,-3624,-1,-75.0,-27.0
26804,29998,1218,-1068,-3588,9,-66.0,-29.0
26820,29999,1238,-1086,-3624,13,-67.0,-21.0
26836,30000,1225,-1048,-3635,1,-94.0,-17.0
26852,30001,1177,-1093,-3652,15,-147.0,-11.0
26868,30002,1213,-1067,-3601,-5,-143.0,2.0
26884,30003,1173,-1075,-3663,-25,-102.0,53.0
26900,30004,1463,-1204,-3591,-19,35.0,39.0
26916,30005,1334,-1185,-3541,116,296.0,-18.0
26932,30006,1276,-1097,-3549,183,398.0,-45.0
26948,30007,1100,-999,-3674,194,417.0,-76.0
26964,30008,979,-976,-3666,224,156.0,-35.0
26980,30009,1055,-974,-3730,192,48.0,0.0
26996,30010,1048,-989,-3670,108,-167.0,38.0
27012,30011,1159,-1075,-3645,43,-170.0,8.0
27028,30012,1170,-1131,-3586,47,-173.0,26.0
27045,30013,1256,-1084,-3645,59,42.0,28.0
27060,30014,1201,-1060,-3639,73,29.0,12.0
27076,30015,1122,-1041,-3682,80,49.0,-11.0
27092,30016,1078,-1028,-3680,36,-39.0,-4.0
27108,30017,1114,-1024,-3675,2,-96.0,-19.0
27124,30018,1084,-993,-3671,-33,-229.0,-16.0
27140,30019,1152,-1016,-3702,-65,-257.0,-26.0
27156,30020,1158,-1049,-3623,-48,-219.0,-72.0
27172,30021,1120,-1040,-3621,-31,-254.0,-64.0
27188,30022,1206,-1077,-3634,-6,-160.0,-63.0
27204,30023,1179,-1014,-3596,26,-157.0,-48.0
27220,30024,1213,-1028,-3647,24,-116.0,-45.0
27236,30025,1145,-1047,-3648,42,-89.0,-29.0
27252,30026,1127,-1036,-3679,7,-96.0,-19.0
27268,30027,1144,-1046,-3695,-6,-154.0,-5.0
27284,30028,1173,-1076,-3680,-30,-168.0,2.0
27300,30029,1155,-1050,-3638,-6,-178.0,-3.0
27316,30030,1160,-1056,-3647,-24,-183.0,-7.0
27332,30031,1176,-1069,-3615,-21,-139.0,-22.0
27349,30032,1202,-1051,-3599,-5,-103.0,-41.0
27364,30033,1181,-1043,-3679,1,-141.0,-25.0
27380,30034,1194,-1034,-3635,-2,-93.0,-37.0
27396,30035,1194,-1041,-3667,-3,-106.0,-33.0
27413,30036,1166,-1082,-3639,4,-88.0,-34.0
27428,30037,1175,-1032,-3658,31,-85.0,-31.0
27444,30038,1128,-1059,-3669,7,-118.0,-42.0
27460,30039,1166,-1034,-3637,7,-138.0,-18.0
27476,30040,1203,-1059,-3615,13,-140.0,-24.0
27492,30041,1226,-1062,-3631,36,-63.0,-58.0
27508,30042,1166,-1085,-3634,36,-59.0,-40.0
27524,30043,1178,-1047,-3634,22,-34.0,-45.0
27540,30044,1188,-1055,-3644,9,-71.0,-47.0
27556,30045,1168,-1075,-3613,15,-103.0,-43.0
27572,30046,1154,-1046,-3646,8,-120.0,-36.0
27588,30047,1177,-1049,-3649,-1,-115.0,-26.0
27604,30048,1217,-1065,-3642,-1,-102.0,-42.0
27620,30049,1203,-1071,-3630,25,-54.0,-54.0
27636,30050,1150,-1065,-3630,6,-45.0,-54.0
27652,30051,1133,-1068,-3637,0,-97.0,-30.0
