Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
24299,54417,168,1695,-3381,88,-93.0,28.0
24315,54418,109,1745,-3419,65,-127.0,-8.0
24331,54419,152,1686,-3417,57,-188.0,-22.0
24347,54420,155,1683,-3459,53,-164.0,-40.0
24363,54421,165,1682,-3410,41,-130.0,-51.0
24379,54422,160,1694,-3470,47,-131.0,-73.0
24396,54423,136,1704,-3476,28,-127.0,-88.0
24411,54424,132,1647,-3439,30,-125.0,-79.0
24427,54425,104,1692,-3402,37,-114.0,-85.0
24443,54426,107,1719,-3365,32,-130.0,-101.0
24459,54427,110,1689,-3408,39,-121.0,-95.0
24475,54428,82,1699,-3375,67,-113.0,-78.0
24491,54429,54,1714,-3430,77,-128.0,-53.0
24507,54430,79,1767,-3432,45,-176.0,-71.0
24523,54431,142,1713,-3400,39,-160.0,-77.0
24539,54432,119,1694,-3372,68,-110.0,-94.0
24555,54433,94,1738,-3391,107,-88.0,-74.0
24571,54434,51,1771,-3405,110,-109.0,-29.0
24587,54435,40,1769,-3446,85,-122.0,-27.0
24603,54436,95,1791,-3463,73,-118.0,-25.0
24619,54437,128,1793,-3469,73,-133.0,-36.0
24635,54438,110,1784,-3452,59,-136.0,-33.0
24651,54439,112,1796,-3461,40,-168.0,-58.0
24667,54440,111,1794,-3452,34,-157.0,-56.0
24683,54441,102,1778,-3465,25,-128.0,-49.0
24699,54442,119,1808,-3435,23,-110.0,-50.0
24715,54443,124,1761,-3458,14,-116.0,-39.0
24731,54444,94,1755,-3404,22,-130.0,-53.0
24747,54445,71,1777,-3462,40,-103.0,-28.0
24763,54446,68,1791,-3435,47,-93.0,2.0
24779,54447,38,1779,-3388,32,-81.0,3.0
24795,54448,77,1784,-3408,14,-131.0,1.0
24811,54449,80,1719,-3396,27,-118.0,-12.0
24827,54450,72,1759,-3452,44,-113.0,-1.0
24843,54451,80,1795,-3437,32,-110.0,6.0
24859,54452,53,1814,-3372,-6,-124.0,2.0
24875,54453,95,1711,-3376,-13,-118.0,18.0
24891,54454,80,1685,-3348,33,-105.0,23.0
24907,54455,79,1716,-3351,72,-99.0,61.0
24923,54456,103,1746,-3341,69,-119.0,46.0
24939,54457,130,1736,-3328,40,-139.0,43.0
24955,54458,145,1674,-3249,70,-158.0,41.0
24971,54459,268,1616,-3227,139,-159.0,156.0
24987,54460,333,1563,-3212,228,-196.0,252.0
25003,54461,456,1489,-3175,267,-223.0,206.0
25020,54462,699,1355,-3017,379,-250.0,273.0
25035,54463,1093,1215,-3076,591,-275.0,425.0
25051,54464,1387,1135,-3264,979,-222.0,501.0
25067,54465,1855,1146,-3459,1431,554.0,617.0
25084,54466,2620,1139,-3641,1868,2058.0,905.0
25099,54467,2320,1381,-3632,2212,3225.0,1092.0
25115,54468,1799,1675,-3855,2201,2982.0,802.0
25131,54469,1365,2093,-4452,1842,1909.0,53.0
25148,54470,1146,2585,-4736,1398,804.0,-916.0
25163,54471,822,2975,-4890,948,-328.0,-1840.0
25179,54472,667,3147,-4851,495,-793.0,-2647.0
