Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
10113,4379,34,1359,-3178,1926,-942.0,825.0
10129,4380,-1068,1402,-3163,1865,-7059.0,-1815.0
10145,4381,-2657,2072,-3618,3525,-1765.0,1597.0
10161,4382,-1437,2383,-4421,3056,366.0,3682.0
10177,4383,-483,2574,-5193,862,-18.0,3767.0
10193,4384,-692,2698,-4909,-1413,-89.0,3778.0
10209,4385,-53,2434,-4438,-1839,4238.0,4618.0
10225,4386,244,2222,-3831,-1027,690.0,2279.0
10241,4387,311,1857,-4377,-495,1827.0,2098.0
10257,4388,550,1715,-4017,-2008,-2371.0,-729.0
10273,4389,-2227,1598,-3991,-3573,-4733.0,-2407.0
10289,4390,-4307,1660,-3328,-3725,-724.0,1309.0
10305,4391,-2407,1191,-2717,-2822,3757.0,5011.0
10321,4392,835,248,-2748,-2062,2537.0,4352.0
10337,4393,1221,193,-2229,-1722,-1082.0,1147.0
10353,4394,-513,285,-1505,-124,-3475.0,-785.0
10369,4395,-1883,352,-1982,1817,-2671.0,-289.0
10385,4396,-2005,610,-2466,3046,-719.0,1082.0
10401,4397,-1197,892,-3272,3677,-1224.0,1397.0
10417,4398,-690,1158,-4120,2984,-1369.0,1218.0
10433,4399,-1455,1499,-4142,2020,-2874.0,944.0
10449,4400,-1471,1908,-4228,1778,-494.0,2307.0
10465,4401,-1020,1827,-4735,742,38.0,2920.0
10481,4402,-481,2002,-4698,-655,489.0,3079.0
10497,4403,-161,1860,-4195,-1765,1478.0,3075.0
10513,4404,-24,1758,-3239,-1689,1451.0,2631.0
10529,4405,805,1455,-2849,-1070,468.0,1371.0
10546,4406,430,1385,-2509,-444,-2384.0,-675.0
10561,4407,-556,1416,-2580,290,-3237.0,-1592.0
10577,4408,-1622,1599,-2829,884,-2046.0,-1003.0
10593,4409,-1771,2006,-3162,1800,-516.0,509.0
10609,4410,-627,2073,-3960,2386,98.0,1003.0
10625,4411,-8,2285,-5105,1066,-947.0,151.0
10642,4412,-441,2186,-5213,-1421,-851.0,-81.0
10657,4413,-573,1912,-4460,-3197,106.0,346.0
10673,4414,-380,1556,-3269,-3548,851.0,532.0
10689,4415,-444,1198,-2209,-2396,98.0,-149.0
10705,4416,-702,1111,-1918,-214,-813.0,-658.0
10721,4417,-461,1021,-2913,1281,-826.0,-714.0
10737,4418,216,1224,-3735,1084,330.0,-622.0
10753,4419,522,1460,-3847,183,-961.0,-1830.0
10769,4420,-276,1447,-3604,200,-1623.0,-2717.0
10785,4421,-1076,1501,-3677,541,-695.0,-2101.0
10801,4422,-562,1453,-4076,747,3336.0,-43.0
10817,4423,792,1868,-4092,-364,-235.0,-1892.0
10833,4424,-249,1841,-3634,-448,-2912.0,-4325.0
10849,4425,-2106,2202,-3568,1088,-1040.0,-2394.0
10865,4426,151,1762,-4732,1501,5371.0,557.0
10881,4427,700,2117,-5313,690,5784.0,456.0
10897,4428,1161,3106,-4806,-1469,2213.0,-1870.0
10913,4429,876,2648,-4319,-3673,-2714.0,-5454.0
10929,4430,-1184,2373,-2924,-2637,-3600.0,-6270.0
10945,4431,-1862,2000,-2713,-26,640.0,-3468.0
10962,4432,388,2067,-3961,1571,5129.0,-1203.0
10977,4433,2360,2761,-5140,817,5250.0,-2028.0
10993,4434,2262,3214,-6019,-2053,-1103.0,-6450.0
11009,4435,-564,3591,-5145,-5630,-3698.0,-8587.0
11025,4436,-3079,3097,-3243,-5896,-394.0,-6039.0
11041,4437,-1908,1302,-2774,-4914,5409.0,-1409.0
11057,4438,1659,885,-2608,-3967,9689.0,1123.0
11073,4439,5126,1686,-2529,-3208,7519.0,-1840.0
11089,4440,4341,2402,-2225,-3356,-2475.0,-9853.0
11105,4441,-790,2149,-1572,-2725,-9197.0,-14358.0
11121,4442,-4776,2437,-749,-822,-3684.0,-10407.0
11137,4443,-3072,1024,-1079,3511,5594.0,-3581.0
11153,4444,740,1558,-3375,6028,5129.0,-2814.0
11169,4445,2729,2587,-5782,2557,4330.0,-5356.0
11185,4446,757,3111,-4504,-2380,-4125.0,-11679.0
11201,4447,-4013,2628,-2820,-2394,-5357.0,-12432.0
11217,4448,-7290,1757,-1983,1668,-991.0,-5702.0
11233,4449,-2482,1466,-3434,3713,10705.0,2841.0
11249,4450,2521,2297,-4492,3131,8583.0,733.0
11265,4451,2730,2831,-5612,2499,-2681.0,-7239.0
11281,4452,376,4002,-5844,-1069,-613.0,-8565.0
11297,4453,-2374,3697,-5371,-3897,-4441.0,-10416.0
11313,4454,-4782,3438,-4529,-4916,511.0,-6853.0
11329,4455,-4736,2097,-3450,-5709,3287.0,-3526.0
11345,4456,-3880,2190,-1424,-3258,5007.0,-1369.0
11361,4457,-3237,1070,-2829,-3354,1467.0,-1515.0
11377,4458,-2228,70,-1974,-3551,3810.0,-447.0
11393,4459,-1934,611,-1071,-384,3347.0,-399.0
11410,4460,-1159,679,-1963,2432,2018.0,-1240.0
11425,4461,-1217,1070,-3649,2424,-1171.0,-3337.0
