Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
56769,11391,-1116,772,-15688,94,-349.0,-154.0
56785,11392,-1084,676,-15744,80,-373.0,-140.0
56801,11393,-1016,684,-15716,111,-360.0,-160.0
56817,11394,-1028,580,-15852,83,-362.0,-149.0
56833,11395,-988,720,-15732,88,-359.0,-158.0
56849,11396,-1060,696,-15684,75,-381.0,-167.0
56865,11397,-1076,640,-15728,104,-385.0,-146.0
56881,11398,-1012,632,-15652,85,-359.0,-145.0
56897,11399,-1052,840,-15720,63,-375.0,-140.0
56913,11400,-1056,752,-15676,64,-362.0,-144.0
56929,11401,-1160,672,-15632,90,-379.0,-124.0
56945,11402,-1008,596,-15808,69,-386.0,-171.0
56961,11403,-1020,732,-15652,50,-376.0,-119.0
56977,11404,-1036,688,-15704,64,-373.0,-153.0
56993,11405,-1068,644,-15880,87,-373.0,-144.0
57009,11406,-1004,716,-15848,46,-355.0,-141.0
57025,11407,-1100,728,-15828,80,-369.0,-167.0
57041,11408,-1084,732,-15628,65,-371.0,-150.0
57057,11409,-920,716,-15676,70,-357.0,-142.0
57073,11410,-1084,744,-15724,90,-363.0,-166.0
57089,11411,-1032,780,-15552,56,-354.0,-136.0
57105,11412,-996,772,-15716,61,-383.0,-137.0
57121,11413,-952,700,-15792,46,-368.0,-133.0
57137,11414,-920,716,-15664,55,-354.0,-131.0
57153,11415,-916,600,-15664,93,-344.0,-154.0
57169,11416,-1056,628,-15712,72,-375.0,-156.0
57185,11417,-952,524,-15696,83,-371.0,-138.0
57201,11418,-928,652,-15624,92,-375.0,-115.0
57217,11419,-1044,696,-15616,91,-381.0,-157.0
57233,11420,-996,640,-15696,56,-361.0,-157.0
57249,11421,-932,588,-15832,66,-373.0,-153.0
57265,11422,-920,648,-15840,89,-384.0,-144.0
57281,11423,-920,748,-15760,51,-352.0,-124.0
57297,11424,-1044,672,-15700,83,-367.0,-154.0
57313,11425,-1036,748,-15792,75,-369.0,-141.0
57329,11426,-916,688,-15816,83,-368.0,-157.0
57345,11427,-940,628,-15796,70,-370.0,-147.0
57361,11428,-932,652,-15716,70,-355.0,-153.0
57377,11429,-992,584,-15664,69,-364.0,-165.0
57393,11430,-1012,652,-15680,56,-387.0,-118.0
57409,11431,-1004,580,-15780,74,-357.0,-137.0
57425,11432,-1020,628,-15788,71,-345.0,-151.0
57441,11433,-1052,640,-15640,87,-372.0,-153.0
57457,11434,-1064,676,-15792,76,-360.0,-158.0
57473,11435,-964,744,-15812,85,-363.0,-150.0
57489,11436,-984,548,-15728,73,-383.0,-137.0
57505,11437,-1052,720,-15704,76,-384.0,-160.0
57521,11438,-968,712,-15668,60,-369.0,-143.0
57537,11439,-1124,640,-15528,84,-345.0,-148.0
57554,11440,-1104,676,-15584,76,-348.0,-144.0
57570,11441,-924,624,-15648,78,-363.0,-146.0
57585,11442,-1044,628,-15892,55,-375.0,-147.0
57601,11443,-968,736,-15780,63,-364.0,-146.0
57617,11444,-1052,700,-15764,81,-368.0,-160.0
57633,11445,-940,652,-15664,72,-360.0,-162.0
57649,11446,-1052,768,-15724,86,-378.0,-150.0
57665,11447,-936,704,-15700,81,-384.0,-170.0
57681,11448,-1100,564,-15672,85,-366.0,-155.0
57697,11449,-1008,588,-15648,71,-346.0,-172.0
57713,11450,-1032,752,-15804,81,-353.0,-130.0
57729,11451,-1152,820,-15652,83,-354.0,-157.0
57745,11452,-1172,716,-15724,85,-353.0,-139.0
57761,11453,-1016,736,-15648,84,-350.0,-182.0
57777,11454,-1048,588,-15688,75,-386.0,-151.0
57793,11455,-1064,660,-15812,80,-360.0,-147.0
57809,11456,-1076,568,-15704,64,-359.0,-147.0
57825,11457,-1128,744,-15668,60,-410.0,-134.0
57841,11458,-988,796,-15784,117,-354.0,-98.0
57857,11459,-960,704,-15668,64,-379.0,-136.0
57873,11460,-1084,684,-15856,-18,-409.0,-131.0
