Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
61163,56721,543,428,-3782,32,-46.0,-3.0
61179,56722,532,425,-3790,42,-102.0,-12.0
61195,56723,565,431,-3852,57,-124.0,-13.0
61211,56724,543,475,-3831,63,-70.0,-2.0
61227,56725,542,459,-3856,61,-57.0,12.0
61243,56726,532,447,-3870,54,-95.0,-4.0
61259,56727,585,474,-3892,48,-65.0,2.0
61275,56728,557,498,-3889,18,-58.0,2.0
61291,56729,550,458,-3853,-4,-99.0,-22.0
61307,56730,528,442,-3803,6,-128.0,-40.0
61323,56731,546,432,-3806,20,-101.0,-31.0
61339,56732,525,460,-3793,33,-69.0,-17.0
61355,56733,493,461,-3762,42,-82.0,-6.0
61372,56734,499,457,-3811,52,-82.0,0.0
61387,56735,522,455,-3839,47,-78.0,33.0
61403,56736,506,472,-3838,50,-71.0,14.0
61419,56737,510,502,-3819,24,-95.0,6.0
61435,56738,498,472,-3842,25,-111.0,25.0
61451,56739,578,483,-3792,26,-75.0,43.0
61467,56740,596,473,-3812,47,-87.0,1.0
61483,56741,526,455,-3817,30,-102.0,-38.0
61499,56742,518,459,-3858,40,-122.0,-10.0
61515,56743,521,446,-3837,49,-61.0,22.0
61531,56744,511,459,-3836,47,-46.0,37.0
61547,56745,539,460,-3860,33,-62.0,1.0
61563,56746,561,466,-3805,37,-69.0,0.0
61580,56747,514,428,-3799,43,-77.0,2.0
61595,56748,486,457,-3860,60,-93.0,13.0
61611,56749,505,459,-3925,69,-42.0,27.0
61627,56750,487,493,-3895,29,-19.0,44.0
61644,56751,495,477,-3887,15,-35.0,42.0
61659,56752,521,489,-3865,-4,-86.0,40.0
61675,56753,583,488,-3851,-13,-99.0,37.0
61691,56754,571,471,-3801,4,-76.0,20.0
61707,56755,614,448,-3820,7,-73.0,-21.0
61723,56756,603,468,-3827,35,-53.0,-41.0
61739,56757,623,481,-3881,53,9.0,-34.0
61755,56758,736,539,-3927,36,71.0,-35.0
61771,56759,960,510,-3849,-32,46.0,-143.0
61787,56760,1075,524,-3861,-76,-110.0,-386.0
61803,56761,1593,598,-4090,-135,-209.0,-667.0
61819,56762,2248,704,-4268,-308,-181.0,-1178.0
61835,56763,2781,940,-4606,-628,-652.0,-1993.0
61851,56764,3571,1151,-4679,-1211,-947.0,-2778.0
61867,56765,3922,1434,-4717,-1873,-600.0,-3505.0
61883,56766,3989,1368,-3494,-2185,555.0,-4141.0
61899,56767,3784,1493,-2932,-1693,1828.0,-4637.0
61915,56768,3458,1635,-2657,-1558,1984.0,-5532.0
61931,56769,3057,1757,-2694,-1404,1944.0,-5871.0
61947,56770,2827,1814,-2597,-1294,1599.0,-6094.0
61963,56771,2870,1576,-2966,-1068,673.0,-6478.0
61979,56772,3012,1679,-3285,-1135,523.0,-6892.0
61995,56773,2409,1753,-3338,-724,1943.0,-6757.0
62011,56774,2292,1976,-3211,-1001,559.0,-7067.0
62027,56775,1781,1383,-2658,159,47.0,-7002.0
62043,56776,2089,1778,-3157,1218,375.0,-7162.0
62059,56777,2712,1792,-3789,1026,94.0,-8120.0
62075,56778,2071,1825,-3976,1248,1315.0,-8953.0
62091,56779,1139,2860,-4146,1269,2467.0,-9131.0
62107,56780,130,2135,-3471,962,2848.0,-9098.0
62123,56781,-235,2282,-3313,624,2468.0,-8930.0
62139,56782,-787,2448,-3477,679,2061.0,-9162.0
62155,56783,-932,2816,-3785,769,1609.0,-9244.0
62171,56784,-1313,2892,-3737,573,1261.0,-9111.0
62187,56785,-786,2781,-3411,693,646.0,-8844.0
62203,56786,-594,2810,-2788,212,310.0,-9160.0
62219,56787,-408,3347,-3254,570,638.0,-9526.0
62235,56788,-1047,3433,-3127,707,847.0,-9719.0
62251,56789,-1917,3790,-5287,431,-1099.0,-10055.0
62267,56790,-1968,3101,-2499,1007,-3539.0,-10646.0
62283,56791,-1265,2942,-2323,1207,-5354.0,-11418.0
62299,56792,6196,7155,-5722,11368,-18.0,-10964.0
62315,56793,-18620,-3045,-12285,-1157,15645.0,10464.0
62331,56794,-11121,-879,458,-701,4018.0,-1026.0
62348,56795,-5697,1417,-1318,107,-7560.0,-3527.0
62363,56796,1218,404,-2307,-39,-7262.0,-1983.0
62379,56797,4672,695,-3293,-498,-2104.0,-668.0
62395,56798,2740,647,-3471,-122,2270.0,144.0
62411,56799,-443,700,-3693,291,2660.0,-4.0
62427,56800,-2732,687,-4114,575,1800.0,-73.0
62443,56801,-3573,820,-4044,790,-443.0,-160.0
62459,56802,-3064,1020,-4304,475,-1565.0,-153.0
62475,56803,-3066,1215,-3944,-61,-707.0,446.0
62491,56804,-3721,1554,-4081,-770,-641.0,1355.0
62507,56805,-4528,1969,-4416,-726,-178.0,2181.0
62523,56806,-4989,1913,-4606,-854,-62.0,3244.0
62539,56807,-5367,1846,-4099,-649,-115.0,4309.0
62555,56808,-5189,1945,-3938,-125,-707.0,5402.0
62571,56809,-4744,2432,-4129,40,-787.0,6523.0
62587,56810,-4105,2814,-4270,344,-233.0,7569.0
62604,56811,-3699,2930,-3928,342,-923.0,8682.0
62619,56812,-2677,2939,-3746,525,-2413.0,8982.0
62635,56813,-1390,2869,-3725,366,-3939.0,8530.0
62651,56814,-493,2794,-3613,49,-4008.0,7885.0
62667,56815,1104,2689,-4613,-1001,-2312.0,7587.0
62683,56816,514,2576,-4405,-1513,612.0,8027.0
62699,56817,332,2229,-2906,-897,1457.0,8537.0
62715,56818,153,2230,-2254,259,-848.0,9173.0
62731,56819,847,2172,-2081,723,-2797.0,9527.0
62747,56820,1607,1992,-2654,1406,-2533.0,9146.0
62763,56821,1688,2087,-3151,1351,-1173.0,8649.0
62779,56822,1512,2108,-2714,826,-1299.0,7888.0
62796,56823,1455,2180,-2800,674,-2157.0,7691.0
62811,56824,1333,2148,-2625,638,-2260.0,7624.0
62827,56825,1867,2078,-1896,1537,-1596.0,7913.0
62843,56826,1095,2199,-1608,1993,-2402.0,7930.0
62859,56827,2117,2386,-2233,1967,-1559.0,7560.0
62875,56828,1484,2405,-2324,1629,-2149.0,7321.0
62891,56829,2229,2200,-2466,1858,-2637.0,6386.0
62907,56830,2249,1908,-2735,1407,-2801.0,5668.0
62923,56831,2220,1989,-3013,1476,-2225.0,5043.0
