Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
42529,2309,-236,-414,-4095,148,-261.0,116.0
42545,2310,-227,-399,-4051,150,-270.0,91.0
42561,2311,-234,-392,-4019,127,-241.0,71.0
42577,2312,-236,-403,-4044,131,-234.0,82.0
42593,2313,-232,-397,-4093,125,-243.0,72.0
42609,2314,-281,-394,-4087,128,-265.0,64.0
42625,2315,-222,-371,-4042,90,-276.0,56.0
42641,2316,-245,-407,-4058,73,-267.0,48.0
42658,2317,-268,-440,-4097,66,-246.0,43.0
42673,2318,-307,-478,-4055,78,-252.0,39.0
42689,2319,-310,-441,-4052,65,-264.0,56.0
42705,2320,-357,-454,-4011,27,-292.0,73.0
42721,2321,-290,-446,-4068,-2,-253.0,79.0
42737,2322,-294,-446,-4044,37,-270.0,90.0
42753,2323,-277,-437,-3969,89,-247.0,77.0
42769,2324,-294,-416,-3970,155,-235.0,74.0
42785,2325,-287,-434,-3983,169,-215.0,82.0
42801,2326,-299,-426,-4047,147,-243.0,75.0
42817,2327,-296,-423,-4024,124,-274.0,69.0
42833,2328,-237,-408,-4046,105,-303.0,76.0
42849,2329,-241,-392,-4034,102,-290.0,64.0
42865,2330,-225,-415,-4005,120,-258.0,57.0
42881,2331,-249,-391,-4006,127,-216.0,43.0
42897,2332,-245,-425,-4039,139,-262.0,22.0
42913,2333,-282,-419,-4055,112,-279.0,7.0
42929,2334,-325,-439,-4057,102,-333.0,4.0
42945,2335,-314,-440,-4055,73,-349.0,9.0
42961,2336,-328,-465,-4093,78,-398.0,15.0
42977,2337,-359,-464,-4078,72,-458.0,18.0
42993,2338,-394,-466,-4097,63,-625.0,58.0
43009,2339,-357,-462,-4041,51,-732.0,78.0
43025,2340,-223,-458,-4114,77,-695.0,51.0
43041,2341,-208,-424,-4114,117,-610.0,32.0
43057,2342,-141,-442,-4099,120,-569.0,26.0
43073,2343,-190,-433,-4080,44,-445.0,37.0
43089,2344,-220,-451,-4037,38,-352.0,33.0
43105,2345,-198,-449,-3970,49,-243.0,44.0
43121,2346,-228,-492,-3970,90,-209.0,52.0
43137,2347,-221,-434,-3978,77,-111.0,75.0
43153,2348,-180,-476,-4063,-23,146.0,97.0
43169,2349,-173,-438,-4002,-140,437.0,144.0
43185,2350,61,-311,-4104,-439,997.0,203.0
43201,2351,383,-279,-4239,-1255,2419.0,409.0
43217,2352,544,-297,-4392,-2097,4352.0,280.0
43233,2353,623,-333,-4100,-2745,6049.0,37.0
43249,2354,609,-361,-3965,-3587,7987.0,-339.0
43265,2355,70,-701,-2671,-3300,8743.0,-942.0
43281,2356,-927,-821,-2583,-2242,9001.0,-1580.0
43297,2357,-790,-897,-3206,-995,7434.0,-2273.0
43313,2358,-1076,-515,-3250,-640,6217.0,-2762.0
43329,2359,-1546,-596,-3727,-798,5761.0,-2943.0
43345,2360,-2031,-533,-3894,-1476,5237.0,-2996.0
43361,2361,-2453,-683,-3748,-1950,4166.0,-2943.0
43377,2362,-2767,-811,-3693,-2098,4029.0,-2975.0
43393,2363,-2177,-231,-2370,-1719,4314.0,-3205.0
43409,2364,-3243,-329,-3408,-2650,2205.0,-3397.0
43426,2365,-3289,-1360,-3347,-3086,2189.0,-3328.0
43441,2366,-4005,-649,-3794,-3477,4119.0,-2805.0
43457,2367,-5348,-1234,-4950,-4203,183.0,-2311.0
43473,2368,-4678,-471,-4467,-5512,-1082.0,-2135.0
43489,2369,-3863,-486,-5159,-6743,660.0,-2119.0
43505,2370,-4381,-893,-1942,-7160,1345.0,-1447.0
43521,2371,-3735,-1612,-2180,-6973,1380.0,-411.0
43537,2372,-4485,-1430,-2736,-6778,-1484.0,348.0
43553,2373,-4767,-1187,-1530,-6131,-728.0,1681.0
43569,2374,-4980,-1645,-1392,-6029,-489.0,2495.0
43585,2375,-4845,-2244,-1118,-5125,-1157.0,3291.0
43601,2376,-5104,-1555,55,-5000,-652.0,4684.0
43618,2377,-5008,-2294,-512,-4532,-451.0,5898.0
43633,2378,-5083,-2341,1351,-3192,-248.0,6955.0
43649,2379,-4221,-2039,-484,-1884,396.0,7209.0
43665,2380,-4079,-2388,1071,-593,939.0,7741.0
43681,2381,-3441,-2169,477,872,1121.0,8303.0
43697,2382,-3102,-2397,743,2331,1760.0,8597.0
43713,2383,-2752,-2594,137,3656,3569.0,8631.0
43729,2384,-2031,-3018,1090,5403,1810.0,7740.0
43745,2385,-1029,-2335,-433,7172,1258.0,6284.0
43761,2386,-143,-1694,323,7756,640.0,5125.0
43777,2387,-397,-1961,-843,8459,-617.0,4601.0
43793,2388,-129,-2088,-1229,8528,-675.0,3458.0
43809,2389,-262,-1232,-1815,9799,-2461.0,1661.0
43825,2390,-2714,-753,-3288,10278,-263.0,839.0
43841,2391,2965,1941,144,12611,-2463.0,-2349.0
43857,2392,-12376,2694,-9435,17157,3748.0,-4924.0
43873,2393,-1381,-258,-234,21150,-1085.0,-6233.0
43889,2394,1037,1403,-381,18163,-1388.0,-5421.0
43905,2395,747,2838,-2138,15247,-4243.0,-6040.0
43921,2396,1285,2554,-4134,14335,-4626.0,-7476.0
43937,2397,1586,3974,-3070,15200,-3444.0,-8240.0
43953,2398,2142,5114,-3259,14753,-1000.0,-9112.0
43969,2399,2088,5316,-5010,13046,2464.0,-10344.0
43986,2400,244,4155,-6047,7043,768.0,-9020.0
44001,2401,2340,3626,-5292,1256,-912.0,-9985.0
44017,2402,832,4757,-5606,-4478,-2034.0,-10123.0
44033,2403,993,4769,-5549,-10339,-3712.0,-9552.0
44050,2404,1276,5286,-4714,-13588,-5987.0,-9932.0
44065,2405,-22,4052,-5153,-15004,-7075.0,-9087.0
44081,2406,-81,2574,-4882,-13676,-7410.0,-7575.0
44097,2407,2455,1815,-4397,-11453,-8407.0,-6729.0
