Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
56816,11394,-201,1171,-3725,104,-167.0,-76.0
56832,11395,-186,1197,-3726,101,-178.0,-80.0
56848,11396,-173,1229,-3700,110,-146.0,-74.0
56864,11397,-128,1218,-3747,103,-120.0,-62.0
56880,11398,-182,1237,-3770,104,-88.0,-72.0
56896,11399,-174,1204,-3809,104,-17.0,-64.0
56912,11400,-168,1238,-3766,105,38.0,-46.0
56928,11401,-221,1219,-3758,81,-27.0,-77.0
56944,11402,-190,1259,-3774,54,-64.0,-95.0
56960,11403,-207,1255,-3761,42,-38.0,-94.0
56976,11404,-219,1234,-3733,24,-38.0,-122.0
56992,11405,-238,1246,-3749,5,-43.0,-118.0
57008,11406,-266,1221,-3724,7,-55.0,-96.0
57024,11407,-289,1220,-3698,21,-91.0,-82.0
57040,11408,-236,1224,-3725,39,-29.0,-45.0
57056,11409,-269,1212,-3698,30,-30.0,-41.0
57072,11410,-275,1223,-3709,10,-70.0,-55.0
57088,11411,-243,1187,-3682,-14,-176.0,-71.0
57104,11412,-179,1217,-3721,-18,-161.0,-79.0
57120,11413,-190,1235,-3707,-12,-102.0,-73.0
57136,11414,-204,1234,-3643,-12,-43.0,-65.0
57152,11415,-256,1241,-3655,-21,-55.0,-76.0
57168,11416,-195,1210,-3625,-9,-41.0,-73.0
57184,11417,-243,1201,-3599,-2,-9.0,-57.0
57200,11418,-222,1193,-3624,18,12.0,-77.0
57216,11419,-264,1201,-3599,22,1.0,-68.0
57232,11420,-278,1201,-3627,38,-3.0,-59.0
57248,11421,-320,1178,-3619,60,-18.0,-51.0
57264,11422,-309,1191,-3604,68,-93.0,-66.0
57280,11423,-299,1213,-3620,41,-160.0,-80.0
57297,11424,-259,1190,-3607,36,-184.0,-64.0
57312,11425,-238,1186,-3605,84,-132.0,-39.0
57328,11426,-235,1198,-3569,113,-81.0,-13.0
57344,11427,-265,1198,-3619,102,-121.0,-18.0
57360,11428,-204,1168,-3639,73,-155.0,-54.0
57376,11429,-236,1204,-3716,73,-150.0,-63.0
57392,11430,-228,1212,-3730,72,-129.0,-51.0
57409,11431,-183,1198,-3672,31,-111.0,-63.0
57424,11432,-188,1211,-3650,37,-92.0,-67.0
57440,11433,-175,1193,-3656,64,-76.0,-68.0
57456,11434,-181,1200,-3665,95,-37.0,-68.0
57472,11435,-221,1256,-3723,91,-43.0,-79.0
57488,11436,-268,1228,-3700,63,-131.0,-106.0
57504,11437,-235,1237,-3670,20,-171.0,-125.0
57520,11438,-218,1239,-3685,6,-151.0,-124.0
57536,11439,-203,1212,-3660,-13,-162.0,-127.0
57552,11440,-169,1227,-3599,-9,-179.0,-126.0
57568,11441,-169,1204,-3556,8,-242.0,-145.0
57584,11442,-156,1166,-3534,26,-329.0,-157.0
57600,11443,-97,1160,-3564,46,-403.0,-156.0
57616,11444,-22,1161,-3604,69,-455.0,-174.0
57632,11445,-26,1158,-3662,70,-455.0,-186.0
57648,11446,108,1153,-3650,135,-465.0,-206.0
57664,11447,138,1145,-3751,169,-444.0,-222.0
57680,11448,214,1174,-3761,149,-425.0,-288.0
57697,11449,372,1154,-3790,96,-409.0,-384.0
57712,11450,499,1195,-3720,104,-573.0,-563.0
57728,11451,623,1123,-3729,51,-648.0,-699.0
57744,11452,405,1199,-3614,-90,-850.0,-861.0
57760,11453,534,1260,-3785,-160,-688.0,-992.0
57776,11454,293,1292,-3808,-291,-182.0,-1079.0
57792,11455,14,1144,-3543,-342,-85.0,-1146.0
57808,11456,-218,959,-3401,-211,29.0,-931.0
57824,11457,-240,1080,-3399,-24,-27.0,-686.0
57840,11458,-226,1047,-3482,236,-65.0,-534.0
57856,11459,-85,1139,-3840,502,62.0,-399.0
57872,11460,-69,1245,-4142,657,370.0,-287.0
57888,11461,-45,1359,-4531,712,687.0,-179.0
57904,11462,-65,1504,-4853,689,1020.0,-97.0
57920,11463,-187,1670,-5132,626,1183.0,-5.0
57936,11464,-343,1826,-5392,427,1156.0,-25.0
57952,11465,-376,1965,-5569,121,963.0,-114.0
57968,11466,-324,2089,-5722,-258,998.0,-151.0
57984,11467,-434,2164,-5707,-646,1080.0,-209.0
58000,11468,-600,2220,-5656,-1092,1101.0,-298.0
58016,11469,-999,2290,-5561,-1567,689.0,-487.0
58032,11470,-1212,2203,-5234,-2027,165.0,-644.0
58048,11471,-1259,2090,-4981,-2438,-281.0,-667.0
58064,11472,-1307,1878,-4642,-2612,-416.0,-599.0
58080,11473,-1329,1841,-4442,-2586,-324.0,-385.0
58096,11474,-1471,1751,-4166,-2616,-140.0,-152.0
58112,11475,-1632,1655,-3945,-2674,-242.0,-45.0
58128,11476,-1689,1515,-3638,-2784,-369.0,44.0
58144,11477,-1657,1392,-3474,-2803,-318.0,169.0
58160,11478,-1689,1305,-3164,-2745,-3.0,404.0
58176,11479,-1666,1201,-2916,-2592,219.0,700.0
58192,11480,-1704,934,-2595,-2459,317.0,963.0
58208,11481,-1672,828,-2428,-2159,578.0,1307.0
58224,11482,-1699,793,-2260,-1893,813.0,1597.0
58240,11483,-1646,762,-1992,-1661,869.0,1852.0
58256,11484,-1685,656,-1845,-1464,682.0,2041.0
58272,11485,-1564,525,-1689,-1331,484.0,2211.0
58288,11486,-1342,399,-1445,-1024,189.0,2437.0
58304,11487,-1167,347,-1160,-741,-89.0,2550.0
58320,11488,-948,247,-920,-490,-436.0,2631.0
58336,11489,-646,44,-767,-260,-738.0,2652.0
58352,11490,-496,-38,-649,109,-1009.0,2652.0
58369,11491,-318,-54,-563,448,-1374.0,2610.0
58384,11492,-98,-111,-508,743,-1624.0,2636.0
58400,11493,236,-276,-580,1157,-1695.0,2725.0
58416,11494,744,-270,-832,1723,-1383.0,2877.0
58432,11495,1008,-98,-882,2217,-1072.0,2956.0
58448,11496,1404,-70,-1208,2696,-754.0,2960.0
58464,11497,1614,-27,-1600,3183,-413.0,2881.0
58480,11498,1892,252,-1968,3519,58.0,2732.0
58497,11499,1931,530,-2160,3695,60.0,2405.0
58512,11500,1890,725,-2273,3565,-872.0,1746.0
58528,11501,2455,667,-2549,3507,-1727.0,1253.0
58544,11502,2900,811,-3027,3543,-1835.0,845.0
58560,11503,3000,1163,-3739,3760,-1642.0,547.0
58576,11504,2801,1417,-4260,3602,-1883.0,139.0
58592,11505,2702,1398,-4323,3268,-2690.0,-232.0
58608,11506,3384,1493,-4767,3134,-2194.0,-225.0
58624,11507,3588,1436,-4901,3207,-1285.0,-351.0
58640,11508,3123,1854,-5176,3116,-1158.0,-845.0
