Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
8750,53445,711,54,-3951,105,-385.0,66.0
8766,53446,728,51,-3986,110,-275.0,80.0
8782,53447,612,82,-3976,51,395.0,124.0
8798,53448,688,65,-3923,160,-695.0,37.0
8814,53449,698,60,-3976,131,-187.0,83.0
8830,53450,724,80,-3972,135,-386.0,69.0
8846,53451,706,71,-3948,120,-340.0,72.0
8862,53452,746,66,-3969,104,-319.0,67.0
8878,53453,726,55,-3934,101,-303.0,57.0
8894,53454,693,34,-3954,98,-308.0,52.0
8910,53455,731,75,-3984,111,-308.0,51.0
8926,53456,675,37,-3953,113,-307.0,45.0
8942,53457,714,74,-3966,108,-278.0,47.0
8958,53458,688,57,-3938,120,-270.0,53.0
8974,53459,691,42,-3976,125,-258.0,59.0
8990,53460,678,55,-3950,120,-268.0,51.0
9006,53461,622,53,-3986,109,-269.0,53.0
9022,53462,651,30,-3985,90,-295.0,71.0
9038,53463,662,31,-3933,79,-293.0,64.0
9054,53464,710,64,-3961,92,-355.0,66.0
9070,53465,698,89,-3943,108,-313.0,65.0
9086,53466,714,60,-3952,113,-296.0,75.0
9102,53467,734,84,-3992,104,-290.0,73.0
9118,53468,687,90,-3938,83,-262.0,78.0
9134,53469,695,45,-3932,69,-229.0,79.0
9150,53470,732,78,-3978,63,-329.0,61.0
9166,53471,739,55,-3930,62,-274.0,76.0
9182,53472,765,28,-3956,52,-213.0,64.0
9198,53473,768,76,-3972,37,-144.0,59.0
9214,53474,754,61,-4047,35,-43.0,36.0
9230,53475,699,49,-3976,22,-1.0,13.0
9247,53476,652,68,-3961,53,36.0,15.0
9262,53477,608,7,-3983,68,-1.0,33.0
9278,53478,658,16,-3996,89,-1.0,54.0
9294,53479,844,90,-4042,115,133.0,67.0
9310,53480,1011,85,-4220,230,434.0,3.0
9326,53481,918,45,-4327,361,666.0,-153.0
9342,53482,818,28,-4286,379,-406.0,-411.0
9358,53483,995,194,-5074,-64,-1435.0,-757.0
9374,53484,883,377,-5069,-419,-234.0,-934.0
9390,53485,1817,722,-5585,-634,-107.0,-1119.0
9406,53486,1692,650,-5988,-1087,-199.0,-1447.0
9422,53487,712,791,-6753,-1258,-915.0,-2150.0
9438,53488,2889,853,-6788,-1940,-2147.0,-2761.0
9454,53489,2141,744,-7169,-3049,-1449.0,-3620.0
