Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
44610,2439,-204,-665,-4055,178,-270.0,56.0
44626,2440,-176,-684,-4109,193,-304.0,43.0
44642,2441,-156,-649,-4188,189,-274.0,32.0
44658,2442,-183,-606,-4206,125,-238.0,39.0
44674,2443,-193,-634,-4149,51,-227.0,65.0
44690,2444,-174,-641,-4026,56,-324.0,70.0
44706,2445,-110,-643,-4018,75,-309.0,55.0
44722,2446,-108,-631,-3996,119,-223.0,47.0
44738,2447,-121,-656,-4048,172,-141.0,32.0
44754,2448,-138,-614,-4053,201,-78.0,23.0
44770,2449,-158,-614,-4119,156,-88.0,44.0
44786,2450,-198,-586,-4131,72,-132.0,67.0
44802,2451,-203,-606,-3991,16,-301.0,82.0
44818,2452,-145,-637,-3978,10,-332.0,80.0
44834,2453,-153,-622,-3892,51,-358.0,71.0
44850,2454,-142,-630,-3821,81,-332.0,52.0
44866,2455,-105,-647,-3874,102,-311.0,39.0
44882,2456,-155,-641,-3904,149,-263.0,20.0
44898,2457,-252,-626,-3902,115,-226.0,33.0
44914,2458,-303,-627,-3814,91,-343.0,85.0
44930,2459,-158,-685,-3834,157,-437.0,103.0
44946,2460,-67,-670,-3885,238,-332.0,72.0
44962,2461,-96,-678,-3911,281,-214.0,43.0
44978,2462,-129,-679,-4048,281,-183.0,46.0
44994,2463,-116,-716,-4127,260,-259.0,44.0
45010,2464,-96,-763,-4212,249,-286.0,53.0
45026,2465,57,-808,-4417,307,-318.0,-15.0
45042,2466,127,-793,-4784,294,102.0,-131.0
45058,2467,38,-862,-4990,271,357.0,-245.0
45074,2468,-119,-938,-5314,258,418.0,-281.0
45090,2469,-190,-945,-5644,182,374.0,-213.0
45106,2470,-164,-891,-5990,-46,560.0,-193.0
45122,2471,-187,-846,-6197,-435,712.0,-179.0
45138,2472,-309,-819,-6078,-796,630.0,-138.0
45154,2473,-315,-783,-6065,-1104,449.0,-113.0
45170,2474,-357,-765,-5876,-1381,306.0,-125.0
45186,2475,-450,-741,-5637,-1612,144.0,-120.0
45202,2476,-635,-725,-5339,-1814,17.0,-92.0
45218,2477,-762,-761,-5038,-1945,-250.0,-25.0
45234,2478,-804,-807,-4711,-2008,-370.0,34.0
45250,2479,-773,-798,-4637,-2013,-171.0,40.0
45266,2480,-995,-743,-4362,-2049,161.0,95.0
45282,2481,-1233,-780,-4111,-2086,11.0,247.0
45298,2482,-1238,-800,-4000,-2079,-139.0,375.0
45315,2483,-1233,-758,-3761,-2086,-277.0,524.0
45330,2484,-1134,-868,-3609,-2023,-438.0,624.0
45346,2485,-989,-923,-3496,-1965,-311.0,692.0
45362,2486,-920,-986,-3528,-1875,40.0,724.0
45378,2487,-1050,-1019,-3420,-1822,340.0,810.0
45394,2488,-1123,-1062,-3325,-1786,284.0,922.0
45410,2489,-1163,-1056,-3184,-1745,23.0,1051.0
45426,2490,-962,-1158,-3091,-1652,-130.0,1134.0
45443,2491,-887,-1337,-2584,-1437,-684.0,1121.0
45458,2492,-869,-1283,-2744,-1478,145.0,1156.0
45474,2493,-963,-1322,-2761,-1394,-29.0,1205.0
45490,2494,-1080,-1422,-2509,-1297,-235.0,1289.0
45506,2495,-1020,-1400,-2426,-1251,-347.0,1417.0
45522,2496,-813,-1482,-2239,-1163,-319.0,1482.0
45538,2497,-641,-1651,-1840,-936,-771.0,1509.0
45554,2498,-459,-1285,-2122,-948,389.0,1620.0
45570,2499,-675,-1672,-2091,-487,-107.0,1495.0
45586,2500,-373,-2023,-2194,-362,292.0,1530.0
45602,2501,-468,-1878,-2152,-108,35.0,1576.0
45618,2502,-471,-1818,-2133,-31,156.0,1652.0
45634,2503,-450,-1707,-2104,-24,133.0,1746.0
45650,2504,-119,-1775,-2107,111,23.0,1698.0
45666,2505,153,-1768,-2064,342,88.0,1636.0
45682,2506,154,-1811,-2023,519,384.0,1518.0
45698,2507,167,-1765,-2086,739,289.0,1456.0
45714,2508,115,-1720,-2129,921,224.0,1401.0
45730,2509,130,-1710,-2228,976,82.0,1388.0
45746,2510,174,-1814,-2190,1076,-188.0,1350.0
45762,2511,369,-1929,-2415,1343,-138.0,1302.0
45778,2512,445,-1940,-2664,1468,297.0,1217.0
45794,2513,419,-1929,-2947,1429,389.0,1171.0
45810,2514,374,-1779,-2847,1439,608.0,1128.0
45826,2515,453,-1787,-2827,1444,280.0,1060.0
45842,2516,706,-1788,-2995,1627,207.0,915.0
45858,2517,732,-1671,-3115,1714,511.0,773.0
45874,2518,560,-1599,-3171,1739,615.0,690.0
45890,2519,491,-1638,-3230,1804,293.0,656.0
45906,2520,435,-1623,-3376,1906,104.0,586.0
45922,2521,449,-1501,-3527,2005,68.0,565.0
45938,2522,331,-1428,-3500,1943,-11.0,586.0
45954,2523,521,-1401,-3531,2005,-320.0,587.0
45970,2524,719,-1336,-3664,2081,-426.0,451.0
45986,2525,713,-1204,-3873,2074,-192.0,323.0
46002,2526,522,-1074,-3868,1955,-96.0,259.0
46018,2527,478,-1064,-3762,1898,-441.0,207.0
46034,2528,573,-1081,-3860,1991,-709.0,175.0
46050,2529,798,-1053,-3979,2058,-699.0,30.0
46066,2530,835,-945,-4088,2087,-251.0,-89.0
46082,2531,636,-814,-4080,2090,17.0,-208.0
46098,2532,374,-754,-4113,2040,-239.0,-248.0
46114,2533,373,-690,-4119,1927,-752.0,-251.0
46130,2534,775,-645,-4199,1882,-837.0,-292.0
46146,2535,1094,-664,-4321,1920,-426.0,-502.0
46162,2536,987,-583,-4538,1946,329.0,-756.0
46178,2537,269,-505,-4518,1881,243.0,-887.0
46194,2538,-8,-289,-4439,1639,-517.0,-696.0
46210,2539,402,-337,-4305,1431,-1388.0,-632.0
46226,2540,1206,-477,-4332,1304,-1012.0,-832.0
46242,2541,1069,-505,-4565,1613,-104.0,-1224.0
46258,2542,366,-231,-4498,1614,462.0,-1376.0
46274,2543,-13,-103,-4384,1470,-198.0,-1164.0
46290,2544,547,-90,-4299,1280,-722.0,-1107.0
46306,2545,974,-287,-4560,1267,-501.0,-1490.0
46322,2546,684,-279,-5023,1213,331.0,-1929.0
46338,2547,-24,-151,-5017,836,684.0,-1968.0
46354,2548,-365,-236,-4884,397,272.0,-1655.0
46371,2549,51,-390,-4867,323,-87.0,-1498.0
46386,2550,394,-299,-4979,462,400.0,-1712.0
46402,2551,49,-140,-4882,498,631.0,-1899.0
46418,2552,-239,-42,-4824,479,38.0,-1799.0
46434,2553,47,-182,-4981,502,-675.0,-1745.0
46450,2554,300,-250,-5161,493,-510.0,-1808.0
46466,2555,232,-227,-5259,383,-40.0,-1930.0
