Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
23616,62566,-62,-1649,-3713,376,616.0,-141.0
23632,62567,-447,-1690,-3684,280,657.0,-159.0
23648,62568,-422,-1693,-3778,318,443.0,-440.0
23664,62569,-370,-1558,-3894,380,375.0,-514.0
23680,62570,-698,-1634,-4001,371,194.0,-384.0
23696,62571,-812,-1667,-3953,393,207.0,-228.0
23712,62572,-822,-1670,-4001,235,69.0,-105.0
23728,62573,-684,-1663,-3927,5,-382.0,-51.0
23744,62574,-389,-1752,-3843,-113,-452.0,-94.0
23760,62575,-363,-1820,-3735,-75,-370.0,-141.0
23776,62576,-343,-1816,-3717,33,-232.0,-211.0
23792,62577,-442,-1807,-3636,132,-93.0,-287.0
23808,62578,-672,-1746,-3681,64,-71.0,-327.0
23824,62579,-757,-1782,-3741,-42,191.0,-343.0
23840,62580,-916,-1707,-3818,-137,225.0,-263.0
23856,62581,-861,-1666,-3802,-221,97.0,-230.0
23872,62582,-914,-1618,-3686,-243,36.0,-156.0
23888,62583,-1072,-1601,-3623,-172,-347.0,72.0
23904,62584,-957,-1611,-3672,-117,-404.0,154.0
23920,62585,-753,-1478,-3698,-51,-512.0,175.0
23936,62586,-624,-1452,-3832,-17,-395.0,267.0
23952,62587,-633,-1322,-3907,-42,-137.0,339.0
23968,62588,-666,-1342,-3926,-40,-196.0,403.0
23984,62589,-543,-1226,-3933,24,-247.0,459.0
24001,62590,-478,-1201,-3906,77,-196.0,453.0
24016,62591,-359,-1155,-3925,123,-192.0,424.0
24032,62592,-282,-1171,-3881,52,-136.0,412.0
24048,62593,-327,-1195,-3827,-42,-165.0,369.0
24065,62594,-276,-1249,-3798,-103,-241.0,313.0
24080,62595,-188,-1393,-3797,-84,-220.0,275.0
24096,62596,-130,-1508,-3964,-62,-207.0,245.0
24112,62597,-80,-1610,-4015,17,-207.0,205.0
24128,62598,-87,-1681,-3945,85,-48.0,182.0
24144,62599,-94,-1731,-3796,110,-255.0,166.0
24160,62600,73,-1779,-3688,92,-305.0,34.0
24176,62601,-25,-1804,-3609,121,-359.0,31.0
24192,62602,-66,-1951,-3607,152,-435.0,-26.0
24208,62603,-87,-2066,-3654,142,-395.0,-135.0
24224,62604,-201,-2126,-3630,115,-408.0,-241.0
24240,62605,-202,-2190,-3642,89,-495.0,-304.0
24257,62606,-295,-2248,-3574,116,-519.0,-360.0
24272,62607,-413,-2306,-3527,125,-575.0,-443.0
24288,62608,-497,-2246,-3534,103,-647.0,-511.0
24304,62609,-488,-2141,-3556,89,-488.0,-552.0
24320,62610,-580,-2108,-3578,71,-421.0,-594.0
24336,62611,-683,-2068,-3628,72,-432.0,-563.0
24352,62612,-735,-1993,-3706,99,-421.0,-546.0
24368,62613,-786,-1872,-3738,128,-376.0,-508.0
24384,62614,-905,-1800,-3704,126,-398.0,-438.0
24400,62615,-886,-1726,-3661,116,-338.0,-376.0
24416,62616,-974,-1717,-3579,85,-298.0,-277.0
24432,62617,-1005,-1689,-3564,82,-312.0,-152.0
24448,62618,-941,-1648,-3570,115,-200.0,-17.0
24464,62619,-873,-1600,-3683,139,-88.0,68.0
24480,62620,-826,-1585,-3764,135,-28.0,200.0
24496,62621,-771,-1573,-3804,104,-81.0,301.0
24512,62622,-589,-1532,-3795,96,-251.0,358.0
24528,62623,-329,-1491,-3821,81,-287.0,356.0
24544,62624,-107,-1477,-3787,117,-147.0,276.0
24560,62625,-42,-1325,-3988,102,-62.0,173.0
24576,62626,-47,-1392,-4087,76,10.0,6.0
24592,62627,-310,-1226,-3999,114,96.0,-211.0
24608,62628,-520,-1326,-3943,115,-119.0,-264.0
24624,62629,-620,-1230,-3871,47,-343.0,-262.0
24640,62630,-429,-1275,-3813,152,-424.0,-355.0
