Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
24017,1152,-994,-187,-3992,184,-391.0,78.0
24033,1153,-930,-175,-3998,184,-308.0,75.0
24049,1154,-1008,-135,-4008,157,-259.0,73.0
24065,1155,-996,-174,-3990,155,-289.0,85.0
24081,1156,-989,-123,-4005,155,-337.0,84.0
24097,1157,-1018,-124,-4012,143,-339.0,88.0
24113,1158,-970,-135,-4039,92,-330.0,107.0
24129,1159,-1026,-144,-3980,84,-444.0,139.0
24145,1160,-938,-136,-4028,70,-479.0,118.0
24161,1161,-926,-141,-3960,47,-279.0,113.0
24177,1162,-978,-180,-3930,37,-288.0,129.0
24193,1163,-959,-216,-3883,54,-282.0,150.0
24210,1164,-953,-186,-3938,91,-309.0,144.0
24225,1165,-947,-173,-3903,118,-293.0,118.0
24241,1166,-934,-194,-3865,148,-250.0,110.0
24258,1167,-962,-214,-3905,152,-256.0,125.0
24273,1168,-938,-185,-3935,179,-327.0,124.0
24289,1169,-935,-197,-3933,163,-302.0,127.0
24305,1170,-951,-214,-3936,126,-288.0,140.0
24321,1171,-901,-199,-3942,110,-298.0,129.0
24337,1172,-911,-195,-3942,95,-260.0,129.0
24353,1173,-919,-210,-3958,124,-333.0,106.0
24369,1174,-879,-224,-3934,142,-346.0,92.0
24386,1175,-864,-211,-3977,131,-306.0,74.0
24401,1176,-887,-241,-3951,122,-314.0,66.0
24417,1177,-882,-197,-3916,107,-294.0,51.0
24433,1178,-891,-231,-3921,102,-268.0,57.0
24449,1179,-909,-234,-3932,132,-276.0,50.0
24465,1180,-883,-220,-3871,148,-306.0,31.0
24481,1181,-958,-226,-3919,142,-257.0,17.0
24497,1182,-955,-249,-3967,165,-275.0,20.0
24513,1183,-916,-245,-3907,195,-288.0,17.0
24529,1184,-957,-227,-3933,197,-232.0,30.0
24545,1185,-983,-202,-3956,193,-200.0,45.0
24561,1186,-937,-188,-3968,179,-198.0,62.0
24577,1187,-964,-198,-3961,156,-194.0,61.0
24593,1188,-951,-184,-4002,168,-212.0,58.0
24609,1189,-931,-178,-3989,182,-267.0,57.0
24625,1190,-959,-171,-3993,173,-256.0,59.0
24641,1191,-942,-169,-3957,137,-271.0,67.0
24657,1192,-905,-141,-3994,111,-256.0,70.0
24673,1193,-917,-208,-3984,89,-251.0,56.0
24689,1194,-913,-165,-3981,98,-287.0,56.0
24706,1195,-926,-177,-3917,125,-300.0,43.0
24721,1196,-890,-193,-3915,138,-276.0,37.0
24737,1197,-914,-167,-3925,152,-241.0,35.0
24753,1198,-966,-180,-3965,155,-252.0,31.0
24769,1199,-946,-168,-3965,156,-258.0,42.0
24786,1200,-954,-150,-3957,143,-318.0,38.0
24801,1201,-959,-164,-3988,129,-305.0,36.0
24817,1202,-986,-175,-3960,106,-322.0,38.0
24834,1203,-995,-157,-3894,85,-355.0,50.0
24849,1204,-959,-175,-3924,75,-328.0,66.0
24865,1205,-950,-186,-3911,85,-298.0,79.0
24881,1206,-961,-191,-3920,129,-258.0,84.0
24897,1207,-945,-185,-3900,150,-269.0,79.0
24913,1208,-978,-188,-3880,142,-258.0,78.0
24929,1209,-936,-182,-3918,150,-250.0,73.0
24946,1210,-933,-174,-3939,161,-233.0,67.0
24961,1211,-931,-179,-3981,177,-226.0,74.0
24978,1212,-923,-170,-3999,192,-257.0,84.0
24993,1213,-931,-158,-3970,171,-210.0,82.0
25009,1214,-998,-167,-3937,166,-321.0,72.0
25025,1215,-938,-145,-3961,158,-420.0,64.0
25042,1216,-897,-119,-3984,142,-429.0,39.0
25057,1217,-884,-150,-3985,153,-357.0,23.0
25073,1218,-911,-178,-4000,175,-340.0,24.0
25089,1219,-1016,-179,-3954,188,-585.0,44.0
25105,1220,-929,-145,-3976,140,-666.0,35.0
25121,1221,-931,-175,-3933,114,-751.0,39.0
25137,1222,-864,-160,-3952,103,-722.0,24.0
25153,1223,-931,-152,-3949,145,-662.0,38.0
25169,1224,-896,-167,-3911,180,-749.0,54.0
25185,1225,-866,-140,-3963,189,-717.0,53.0
25201,1226,-809,-135,-3957,140,-711.0,50.0
25217,1227,-740,-140,-3933,61,-554.0,61.0
25234,1228,-713,-150,-3983,-6,-294.0,91.0
25249,1229,-718,-178,-3967,-26,-100.0,97.0
25265,1230,-769,-220,-3954,-6,59.0,132.0
25281,1231,-748,-165,-3958,2,187.0,131.0
25297,1232,-775,-182,-3965,1,420.0,135.0
25313,1233,-778,-193,-3923,-7,623.0,136.0
25329,1234,-839,-205,-3907,-47,851.0,149.0
25345,1235,-875,-208,-3911,-6,1059.0,145.0
25361,1236,-1148,-222,-3848,113,769.0,139.0
25377,1237,-1256,-225,-3888,264,112.0,114.0
25393,1238,-1208,-191,-3895,324,-584.0,52.0
25409,1239,-957,-128,-3988,264,-718.0,-34.0
25425,1240,-959,-153,-4023,196,-835.0,-35.0
25441,1241,-1100,-197,-3990,210,-975.0,-16.0
