Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
41916,47326,-779,-1695,-3716,88,-328.0,121.0
41932,47327,-811,-1721,-3679,104,-344.0,129.0
41948,47328,-781,-1741,-3654,90,-340.0,103.0
41964,47329,-713,-1722,-3695,102,-301.0,75.0
41980,47330,-754,-1743,-3686,103,-310.0,69.0
41996,47331,-771,-1754,-3739,70,-297.0,67.0
42012,47332,-768,-1748,-3726,19,-319.0,74.0
42028,47333,-773,-1710,-3645,18,-362.0,63.0
42044,47334,-771,-1736,-3665,49,-318.0,76.0
42060,47335,-692,-1733,-3709,31,-322.0,112.0
42076,47336,-730,-1730,-3716,12,-194.0,64.0
42092,47337,-686,-1740,-3746,-61,-67.0,35.0
42108,47338,-824,-1724,-3669,-102,42.0,38.0
42124,47339,-803,-1771,-3749,-123,157.0,36.0
42140,47340,-765,-1748,-3657,-158,138.0,39.0
42156,47341,-834,-1814,-3670,-197,-89.0,47.0
42172,47342,-809,-1847,-3656,-181,-123.0,31.0
42188,47343,-759,-1814,-3544,-27,132.0,14.0
42204,47344,-818,-1811,-3705,11,426.0,-43.0
42220,47345,-790,-1780,-3672,-84,557.0,-86.0
42236,47346,-854,-1810,-3727,-333,294.0,-135.0
42252,47347,-929,-1809,-3690,-413,400.0,-162.0
42268,47348,-881,-1795,-3552,-356,596.0,-225.0
42284,47349,-904,-1770,-3575,-319,666.0,-239.0
42300,47350,-1018,-1853,-3520,-385,100.0,-207.0
42316,47351,-1046,-1961,-3725,-447,-4.0,-149.0
42332,47352,-1022,-1956,-3335,-263,-243.0,-165.0
42348,47353,-976,-1882,-3318,150,-20.0,-61.0
42364,47354,-1193,-1937,-3351,82,-169.0,-78.0
42380,47355,-1285,-2027,-3537,151,-664.0,160.0
42396,47356,-1085,-1922,-3419,258,-650.0,258.0
42412,47357,-659,-1814,-3533,180,-1136.0,460.0
42428,47358,-779,-2046,-3991,223,-1877.0,224.0
42444,47359,-1007,-1949,-3358,833,-2901.0,573.0
42460,47360,-545,-1891,-3614,1219,-1939.0,327.0
42476,47361,1135,-2042,-1392,1542,-1914.0,-485.0
42492,47362,-571,-2087,-2871,880,327.0,-150.0
42508,47363,-953,-1877,-3464,1029,40.0,-51.0
42524,47364,-622,-1645,-4116,794,1305.0,-326.0
42540,47365,-250,-1510,-3129,234,3291.0,-221.0
42556,47366,-468,-1766,-3568,-263,1682.0,-712.0
42572,47367,-828,-1706,-3321,-526,68.0,-282.0
42589,47368,-937,-1637,-3425,-569,-68.0,-336.0
42604,47369,-922,-1701,-3887,-593,1097.0,-309.0
42620,47370,-1196,-1568,-3715,-765,2151.0,-236.0
42636,47371,-1287,-1998,-3964,-918,1556.0,36.0
42652,47372,-1506,-1969,-3753,-1285,1492.0,393.0
42668,47373,-1320,-1960,-3141,-995,1032.0,419.0
42684,47374,-1183,-2125,-3146,-713,362.0,298.0
42700,47375,-1004,-1921,-3404,-389,-188.0,419.0
42716,47376,-1906,-2243,-3265,-168,-961.0,249.0
42732,47377,-863,-2118,-2986,143,-1509.0,301.0
42748,47378,-1134,-1769,-3574,252,-2169.0,615.0
42764,47379,-1147,-2263,-4379,323,-3178.0,344.0
42780,47380,-740,-2086,-3499,811,-2018.0,93.0
42796,47381,-1030,-2055,-3475,912,-1675.0,171.0
42812,47382,-896,-1903,-3176,1224,-784.0,-25.0
42828,47383,-122,-1631,-3306,484,-743.0,-345.0
42844,47384,-1185,-2160,-4792,1077,397.0,-203.0
42860,47385,-796,-1928,-3925,984,36.0,-372.0
42876,47386,-237,-1079,-3905,651,875.0,-879.0
42892,47387,-355,-1649,-2815,169,1379.0,-482.0
42908,47388,-1178,-1721,-3952,-863,2451.0,-1408.0
42924,47389,-780,-1787,-3618,-1465,965.0,-1201.0
42940,47390,-1206,-1708,-3543,-1489,830.0,-1161.0
42956,47391,-1368,-1826,-3271,-1226,1502.0,-1228.0
42972,47392,-1613,-2016,-3008,-838,1855.0,-1140.0
42988,47393,-1885,-2067,-3386,-877,1307.0,-882.0
43004,47394,-2079,-2297,-3163,-789,466.0,-334.0
43020,47395,-2228,-2084,-2810,-409,-175.0,-128.0
43036,47396,-1752,-1985,-2767,210,-659.0,62.0
43052,47397,-1669,-1559,-3174,433,-1381.0,164.0
43068,47398,-1737,-2153,-3546,404,-745.0,-44.0
43084,47399,-1298,-2021,-3377,193,-1161.0,163.0
43100,47400,-1551,-1975,-3267,297,-1287.0,330.0
43116,47401,-1222,-1860,-3059,535,-1714.0,324.0
43132,47402,-1052,-1947,-3331,678,-2594.0,391.0
43148,47403,-1307,-1944,-3326,890,-3504.0,353.0
43164,47404,-1233,-1921,-3614,950,-3890.0,558.0
43180,47405,-853,-1979,-3619,733,-3433.0,647.0
43196,47406,-854,-1985,-3447,864,-2794.0,472.0
43212,47407,-634,-2024,-3608,1106,-2390.0,435.0
43228,47408,-674,-1208,-5512,50,-3415.0,519.0
43244,47409,-1190,-1876,-5349,282,-549.0,-248.0
43260,47410,-627,-1857,-3659,236,-1111.0,-254.0
43276,47411,-693,-1724,-3173,715,172.0,-352.0
43292,47412,-906,-1707,-3241,1320,1402.0,-133.0
43308,47413,-774,-1772,-3767,1536,1697.0,-138.0
43324,47414,-1068,-1971,-6429,-172,1965.0,-712.0
43340,47415,-1131,-1567,-5544,-374,1898.0,236.0
43356,47416,-1234,-1729,-3833,-937,753.0,-179.0
43372,47417,-1336,-1524,-3973,-1408,38.0,307.0
43388,47418,-1327,-1273,-3191,-1432,785.0,288.0
43404,47419,-1300,-1694,-3615,-1086,2505.0,628.0
43420,47420,-1948,-1744,-3156,-783,2821.0,1472.0
43436,47421,-1830,-2172,-3458,-307,3285.0,2233.0
43452,47422,-1760,-2139,-3501,-686,1652.0,2749.0
43468,47423,-1675,-2376,-3090,-556,365.0,2803.0
43484,47424,-1532,-2238,-3184,-290,12.0,2458.0
43500,47425,-273,-2085,-4784,-409,280.0,1964.0
43516,47426,-893,-2474,-4427,-515,465.0,1621.0
43532,47427,-701,-2364,-3573,-594,878.0,857.0
43548,47428,-936,-2305,-3168,-706,41.0,411.0
43565,47429,-762,-2229,-2682,-167,-220.0,-192.0
43580,47430,-1194,-2246,-2600,289,-1371.0,-362.0
43596,47431,-966,-2310,-1871,693,-2066.0,-506.0
43612,47432,-1746,-2603,-2998,1536,-4247.0,207.0
43628,47433,-1466,-2222,-3582,1532,-2877.0,115.0
43644,47434,-1419,-2072,-3085,1511,-2422.0,305.0
43660,47435,-937,-2034,-3070,1965,-2040.0,249.0
43676,47436,868,-2027,-3034,1229,-2344.0,-65.0
43692,47437,-726,-2199,-4625,1329,89.0,-779.0
43708,47438,-1263,-1903,-3697,1493,-141.0,-626.0
43724,47439,-858,-1686,-3543,1288,797.0,-505.0
43740,47440,-966,-818,-4157,438,2096.0,-319.0
43756,47441,21,-1812,-4246,16,134.0,-55.0
43772,47442,-1547,-1731,-4335,-290,1416.0,-742.0
43788,47443,-701,-1754,-3598,-790,597.0,-900.0
