Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
27907,9587,-386,265,-3919,113,-336.0,61.0
27923,9588,-414,251,-4010,142,-279.0,57.0
27940,9589,-444,251,-3976,164,-257.0,56.0
27955,9590,-493,226,-4021,177,-233.0,61.0
27972,9591,-539,239,-4003,154,-275.0,75.0
27987,9592,-506,223,-4057,128,-293.0,81.0
28003,9593,-472,284,-4050,122,-303.0,90.0
28019,9594,-459,271,-4030,125,-255.0,107.0
28035,9595,-482,281,-4009,138,-237.0,104.0
28051,9596,-521,296,-4035,140,-273.0,97.0
28067,9597,-508,275,-4041,134,-323.0,94.0
28083,9598,-489,272,-4024,127,-288.0,117.0
28099,9599,-457,275,-3998,111,-244.0,144.0
28115,9600,-479,265,-4055,117,-254.0,161.0
28131,9601,-441,283,-4016,123,-256.0,144.0
28147,9602,-454,297,-4023,134,-301.0,123.0
28163,9603,-425,285,-4006,131,-284.0,120.0
28179,9604,-424,268,-3985,125,-268.0,120.0
28195,9605,-411,280,-3997,126,-224.0,110.0
28211,9606,-445,280,-4015,121,-274.0,99.0
28227,9607,-426,296,-4028,124,-274.0,88.0
28243,9608,-402,257,-3982,139,-260.0,102.0
28259,9609,-436,290,-3973,138,-222.0,96.0
28275,9610,-417,265,-3974,151,-248.0,74.0
28291,9611,-404,263,-3990,149,-287.0,59.0
28307,9612,-471,261,-3956,129,-327.0,60.0
28323,9613,-449,270,-3999,118,-339.0,71.0
28339,9614,-427,238,-4037,116,-280.0,69.0
28355,9615,-380,249,-3961,107,-267.0,52.0
28371,9616,-398,252,-3927,107,-242.0,31.0
28387,9617,-453,273,-3882,128,-291.0,23.0
28403,9618,-451,269,-3868,167,-326.0,33.0
28419,9619,-447,262,-3920,202,-280.0,33.0
28435,9620,-481,247,-3900,193,-219.0,57.0
28451,9621,-499,245,-3872,194,-271.0,79.0
28467,9622,-464,243,-3925,221,-320.0,85.0
28483,9623,-417,257,-3927,246,-289.0,98.0
28499,9624,-380,291,-3961,259,-287.0,91.0
28515,9625,-373,271,-4017,283,-254.0,75.0
28531,9626,-346,260,-4076,298,-242.0,59.0
28547,9627,-326,286,-4125,302,-244.0,50.0
28563,9628,-269,303,-4165,291,-210.0,27.0
28579,9629,-159,262,-4222,295,-167.0,-15.0
28595,9630,-123,203,-4408,331,-235.0,-47.0
28611,9631,-22,283,-4815,389,-35.0,-69.0
28627,9632,13,346,-4703,435,-620.0,-184.0
28643,9633,123,361,-5077,382,-538.0,-259.0
28659,9634,328,313,-5088,218,-665.0,-405.0
28675,9635,558,356,-5219,130,-1668.0,-618.0
28691,9636,787,442,-5578,-113,-952.0,-654.0
28707,9637,802,353,-5549,-309,-464.0,-687.0
28723,9638,1048,328,-5859,-485,-630.0,-825.0
28739,9639,905,450,-5454,-717,193.0,-842.0
28755,9640,901,555,-5499,-927,618.0,-917.0
28771,9641,783,553,-5331,-1114,619.0,-1043.0
28787,9642,756,565,-5181,-1294,531.0,-1187.0
28803,9643,754,614,-4975,-1461,398.0,-1357.0
28819,9644,719,572,-4936,-1602,409.0,-1535.0
28835,9645,528,567,-4724,-1699,406.0,-1661.0
28851,9646,336,564,-4477,-1813,301.0,-1759.0
28867,9647,196,521,-4377,-1901,97.0,-1863.0
28883,9648,138,536,-4290,-1930,-118.0,-1963.0
28899,9649,-17,504,-4087,-1985,-171.0,-2040.0
28915,9650,-359,521,-3880,-2101,-72.0,-2101.0
28931,9651,-540,433,-3697,-2133,-234.0,-2119.0
28947,9652,-1273,251,-3252,-2108,-424.0,-2003.0
28963,9653,-1880,7,-2861,-2066,-949.0,-1853.0
28979,9654,-1989,-35,-2713,-1781,-2251.0,-1755.0
28995,9655,-1978,-130,-2359,-1552,-2665.0,-1602.0
29011,9656,-1936,-203,-2301,-1441,-1761.0,-1314.0
29027,9657,-1824,-320,-1783,-1227,-1794.0,-1133.0
29043,9658,-2107,-531,-1528,-1015,-1138.0,-795.0
29059,9659,-2206,-527,-1303,-678,-1124.0,-494.0
29075,9660,-2145,-462,-1149,-380,-408.0,-178.0
29091,9661,-2179,-630,-1014,-16,87.0,-116.0
29107,9662,-1950,-800,-1384,576,-406.0,-98.0
29123,9663,-2162,-819,-1651,962,232.0,50.0
29139,9664,-2480,-818,-1857,1217,88.0,175.0
29155,9665,-2750,-771,-2183,1403,-200.0,492.0
29171,9666,-2485,-667,-2541,1498,-535.0,842.0
29187,9667,-2102,-548,-2948,1555,-436.0,1155.0
29204,9668,-1618,-272,-3244,1611,-74.0,1410.0
29219,9669,-1561,-83,-3429,1696,65.0,1573.0
29235,9670,-1340,-20,-3535,1828,-37.0,1685.0
29251,9671,-1061,43,-3860,2038,-313.0,1729.0
29267,9672,-1174,204,-3974,2153,-1092.0,1731.0
29283,9673,-990,456,-4353,2046,-985.0,1871.0
29299,9674,-779,486,-3812,1744,-1526.0,1988.0
29315,9675,-439,483,-3557,1526,-2156.0,2110.0
29331,9676,409,393,-4067,1489,-2650.0,2097.0
29347,9677,565,468,-4411,1578,-660.0,2219.0
29363,9678,48,749,-3884,1658,-678.0,2113.0
29379,9679,-190,712,-3419,1535,-1514.0,1972.0
29395,9680,91,594,-3450,1471,-2419.0,1934.0
29411,9681,492,655,-3957,1540,-2462.0,1958.0
29427,9682,705,725,-4116,1583,-1662.0,2002.0
29443,9683,164,915,-3740,1438,-1106.0,2070.0
29459,9684,-180,769,-3443,1373,-1694.0,2123.0
29475,9685,286,611,-3955,1596,-2127.0,2191.0
29491,9686,871,934,-4615,1803,-1253.0,2255.0
29507,9687,688,1166,-4158,1794,-1602.0,2218.0
29523,9688,530,1066,-4833,1455,137.0,2325.0
29539,9689,88,977,-4704,1472,-771.0,2294.0
29555,9690,253,1228,-4806,1414,-886.0,2422.0
29571,9691,530,1333,-5159,1264,-683.0,2499.0
29587,9692,630,1238,-5458,1140,80.0,2515.0
29603,9693,296,1267,-5516,1080,442.0,2483.0
29619,9694,90,1465,-5690,984,340.0,2505.0
29635,9695,17,1560,-6061,889,341.0,2686.0
29651,9696,191,1709,-6351,824,-1060.0,2669.0
29667,9697,380,1857,-7036,362,1595.0,2880.0
29683,9698,60,1871,-6768,46,1368.0,2792.0
29699,9699,-281,1994,-6375,-474,704.0,2805.0
29715,9700,-86,2115,-6424,-915,50.0,2925.0
29731,9701,555,2104,-6483,-1233,132.0,3012.0
29747,9702,854,1967,-6265,-1509,540.0,2917.0
29763,9703,766,1806,-5820,-1737,655.0,2651.0
29779,9704,676,1729,-5576,-1911,736.0,2539.0
29795,9705,899,1730,-5512,-2076,367.0,2529.0
29811,9706,1270,1418,-5355,-2207,-253.0,2338.0
29827,9707,1619,1225,-5468,-2362,580.0,2115.0
29843,9708,1463,1113,-4991,-2479,712.0,1834.0
29860,9709,1444,947,-4909,-2640,879.0,1639.0
29875,9710,1402,839,-4786,-2803,795.0,1507.0
29891,9711,1572,576,-4499,-2938,766.0,1284.0
29907,9712,1480,378,-4356,-3010,710.0,1009.0
29923,9713,1383,224,-4020,-3054,727.0,697.0
29939,9714,1124,80,-3833,-3028,462.0,440.0
29955,9715,1094,-88,-3494,-3031,475.0,279.0
29971,9716,1081,-149,-3402,-3023,477.0,114.0
29987,9717,1157,-395,-3176,-2983,690.0,-61.0
30004,9718,841,-551,-3033,-2851,804.0,-243.0
30019,9719,717,-654,-2745,-2733,822.0,-414.0
30035,9720,473,-704,-2536,-2641,630.0,-570.0
30051,9721,336,-840,-2336,-2487,260.0,-747.0
30067,9722,280,-1062,-2183,-2278,108.0,-880.0
30083,9723,184,-1179,-2143,-2089,395.0,-984.0
30099,9724,241,-1239,-1992,-1837,196.0,-1152.0
30115,9725,250,-1178,-2031,-1708,597.0,-1225.0
30131,9726,-30,-1199,-1879,-1513,589.0,-1290.0
30147,9727,-282,-1285,-1580,-1278,469.0,-1361.0
30163,9728,-300,-1343,-1592,-1012,-263.0,-1531.0
30179,9729,-206,-1381,-1446,-791,-336.0,-1693.0
30195,9730,-261,-1444,-1317,-493,-602.0,-1834.0
30211,9731,-121,-1431,-1521,-213,-428.0,-1929.0
30227,9732,-145,-1378,-1405,111,-266.0,-1993.0
30243,9733,-321,-1324,-1561,420,-109.0,-2041.0
30259,9734,-465,-1353,-1505,723,-365.0,-2151.0
30275,9735,-501,-1264,-1777,1033,-658.0,-2249.0
30291,9736,-281,-1150,-1831,1206,-832.0,-2366.0
30307,9737,-256,-1064,-2377,1444,-743.0,-2533.0
30323,9738,-349,-888,-2541,1691,-600.0,-2562.0
30339,9739,-535,-587,-2431,1755,-675.0,-2568.0
30355,9740,-529,-312,-2426,1731,-853.0,-2633.0
30371,9741,-98,-230,-2276,1733,-1084.0,-2826.0
30387,9742,70,-110,-2619,1927,-1144.0,-3082.0
30404,9743,174,235,-2672,2128,-859.0,-3407.0
30419,9744,-5,633,-2465,2202,-632.0,-3652.0
30435,9745,-807,601,-2386,2382,-1519.0,-3777.0
30451,9746,-573,608,-2401,2557,-1541.0,-3694.0
30467,9747,-270,749,-3262,2823,-1076.0,-3721.0
30483,9748,-201,1028,-4094,3137,335.0,-3820.0
30499,9749,-1189,1201,-3999,3266,959.0,-3986.0
30515,9750,-2323,1084,-4595,3427,283.0,-3900.0
30531,9751,-2621,1271,-5221,3458,-1089.0,-3667.0
30548,9752,-2335,1638,-6140,3237,-861.0,-3393.0
30563,9753,-2683,1857,-6316,2794,-429.0,-3143.0
30579,9754,-3312,1792,-6329,2365,-47.0,-2572.0
30595,9755,-3453,1758,-6436,1923,-470.0,-2063.0
30611,9756,-3095,1870,-6745,1578,-239.0,-1699.0
30627,9757,-3134,1956,-6550,1266,67.0,-1407.0
30643,9758,-3213,1873,-6146,926,-148.0,-1089.0
30659,9759,-3108,1850,-5929,630,-524.0,-761.0
30675,9760,-2789,1871,-5605,389,-637.0,-548.0
30691,9761,-2402,1764,-5196,155,-462.0,-346.0
30707,9762,-2205,1660,-4903,-26,-217.0,-140.0
30723,9763,-2057,1560,-4540,-165,-106.0,97.0
30739,9764,-1852,1498,-4099,-275,-108.0,265.0
30755,9765,-1599,1414,-3834,-346,-199.0,331.0
30771,9766,-1453,1279,-3658,-346,-346.0,368.0
30787,9767,-1268,1150,-3442,-312,-453.0,401.0
30804,9768,-1152,1053,-3277,-225,-556.0,432.0
30819,9769,-1080,990,-3193,-116,-646.0,469.0
30835,9770,-879,925,-3149,-29,-800.0,440.0
30851,9771,-679,851,-3099,30,-712.0,359.0
Order,True,Max_Delay,17,Out_Range,0,,
17093,17103,-886,249,-3953,236,-296.0,138.0
17109,17104,-886,240,-3895,233,-272.0,130.0
17125,17105,-836,235,-3912,194,-265.0,103.0
17141,17106,-867,297,-3937,166,-257.0,84.0
17157,17107,-901,253,-3867,149,-324.0,89.0
17173,17108,-819,250,-3862,144,-324.0,88.0
17189,17109,-792,254,-3924,91,-294.0,82.0
17205,17110,-844,251,-3972,22,-255.0,95.0
17221,17111,-796,216,-4059,-68,-131.0,81.0
17237,17112,-926,193,-3914,-9,-436.0,151.0
17253,17113,-859,146,-3926,-21,-414.0,137.0
17269,17114,-869,247,-3946,-97,-435.0,159.0
17285,17115,-852,232,-4084,-285,-396.0,198.0
17301,17116,-987,183,-4054,-295,-564.0,231.0
17317,17117,-832,155,-3960,-150,-736.0,128.0
17333,17118,-725,143,-3981,79,-673.0,67.0
17349,17119,-862,113,-3841,179,-517.0,111.0
17365,17120,-799,60,-3918,137,-175.0,232.0
17381,17121,-809,43,-3762,-28,-38.0,251.0
17397,17122,-802,78,-3967,-396,21.0,304.0
17413,17123,-994,157,-3843,-490,90.0,425.0
17429,17124,-829,49,-3790,-346,-286.0,402.0
17445,17125,-633,63,-3853,97,-362.0,179.0
17461,17126,-580,90,-3611,796,-166.0,-31.0
17477,17127,-323,112,-3549,1056,86.0,-409.0
17493,17128,-752,210,-3693,999,287.0,-521.0
17509,17129,-734,140,-3911,749,419.0,-495.0
17525,17130,-977,256,-3832,530,27.0,-234.0
17541,17131,-884,186,-4019,309,-158.0,-143.0
17557,17132,-758,165,-4123,319,-321.0,-145.0
17573,17133,-688,108,-4158,362,-242.0,-201.0
17589,17134,-512,152,-4445,428,26.0,-259.0
17605,17135,-607,164,-4717,495,316.0,-211.0
17621,17136,-767,166,-4991,464,394.0,-165.0
