Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
38576,10254,365,921,-3923,-70,-80.0,-28.0
38592,10255,396,875,-3862,-112,-52.0,-38.0
38608,10256,335,883,-3758,-107,-72.0,-57.0
38625,10257,345,838,-3774,-57,-70.0,-60.0
38640,10258,378,863,-3788,-9,-10.0,-51.0
38656,10259,333,902,-3765,-31,46.0,-26.0
38673,10260,290,900,-3840,-30,42.0,-37.0
38688,10261,276,899,-3828,-45,62.0,-21.0
38704,10262,263,894,-3869,-55,25.0,-16.0
38720,10263,284,845,-3781,-47,-20.0,-26.0
38736,10264,277,811,-3821,-21,-33.0,-37.0
38752,10265,270,842,-3828,-6,-48.0,-32.0
38769,10266,228,885,-3870,-49,-81.0,-38.0
38784,10267,243,864,-3805,-75,-162.0,-43.0
38800,10268,305,812,-3752,-69,-142.0,-54.0
38816,10269,311,814,-3755,-47,-58.0,-15.0
38832,10270,286,814,-3735,-70,-29.0,-18.0
38848,10271,258,787,-3736,-9,-46.0,-7.0
38864,10272,237,822,-3734,-2,-66.0,1.0
38880,10273,293,803,-3763,-25,-27.0,19.0
38896,10274,283,803,-3740,9,-40.0,8.0
38912,10275,251,808,-3748,35,-103.0,-17.0
38928,10276,287,862,-3773,-2,-111.0,-14.0
38944,10277,294,823,-3759,-5,1.0,36.0
38960,10278,288,817,-3738,6,47.0,43.0
38976,10279,233,786,-3700,48,9.0,20.0
38992,10280,283,795,-3745,112,7.0,27.0
39008,10281,294,863,-3814,90,100.0,62.0
39024,10282,297,824,-3856,75,225.0,89.0
39040,10283,209,863,-3823,87,118.0,57.0
39056,10284,236,877,-3887,42,-2.0,26.0
39072,10285,259,851,-3872,0,6.0,21.0
39088,10286,248,825,-3819,28,34.0,22.0
39105,10287,196,824,-3817,48,-7.0,35.0
39120,10288,222,868,-3877,47,-9.0,38.0
39137,10289,207,864,-3873,10,-17.0,37.0
39152,10290,245,857,-3840,0,-24.0,33.0
39168,10291,252,860,-3830,-1,35.0,35.0
39184,10292,215,871,-3862,-38,43.0,30.0
39200,10293,242,870,-3857,-157,-12.0,-61.0
39216,10294,323,925,-3873,-283,-73.0,-173.0
39232,10295,303,882,-3993,-458,-115.0,-329.0
39280,10298,509,868,-3945,-503,-958.0,-431.0
39296,10299,334,774,-3862,-472,-323.0,-175.0
39312,10300,216,696,-3755,-382,-37.0,-6.0
39328,10301,156,645,-3627,-258,-27.0,63.0
39344,10302,255,594,-3650,-28,30.0,116.0
39360,10303,231,614,-3677,135,141.0,212.0
39376,10304,179,686,-3675,217,186.0,287.0
39392,10305,207,638,-3627,234,232.0,368.0
39408,10306,277,657,-3583,262,403.0,476.0
39425,10307,314,630,-3535,388,607.0,640.0
39440,10308,349,658,-3421,482,650.0,698.0
39456,10309,486,687,-3342,621,710.0,775.0
39472,10310,839,740,-3286,744,969.0,914.0
39488,10311,1477,700,-3341,1113,1334.0,961.0
39504,10312,1881,688,-3729,1494,1530.0,747.0
39520,10313,2261,913,-4061,1310,1265.0,249.0
39536,10314,2922,1096,-4065,804,1762.0,28.0
39552,10315,3140,1203,-4102,739,3515.0,-155.0
39568,10316,1949,1242,-4141,1034,4091.0,-532.0
39584,10317,1181,1364,-4336,931,3193.0,-1010.0
39600,10318,1071,1449,-4424,534,2214.0,-1561.0
39616,10319,1379,1608,-4353,391,2411.0,-1941.0
39632,10320,949,1183,-4407,428,2959.0,-2609.0
39648,10321,189,1746,-4410,542,2539.0,-3021.0
39664,10322,-806,1946,-4618,387,1643.0,-3067.0
39680,10323,-1371,2232,-5082,-181,436.0,-3176.0
39696,10324,-1588,2303,-5185,-1055,-650.0,-3101.0
39712,10325,-1265,2230,-5141,-1585,-1071.0,-3047.0
39728,10326,-1137,2126,-5086,-1814,-1233.0,-3219.0
