Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
60769,19833,-400,-150,-3864,-165,18.0,-47.0
60785,19834,-477,-185,-3853,-117,192.0,20.0
60801,19835,-490,-160,-3886,-34,211.0,81.0
60817,19836,-612,-131,-3954,2,161.0,140.0
60833,19837,-503,-132,-3925,71,68.0,153.0
60849,19838,-413,-110,-3938,74,25.0,187.0
60865,19839,-279,-96,-3952,90,115.0,152.0
60881,19840,-347,-79,-3936,92,86.0,152.0
60897,19841,-307,-50,-3890,108,-62.0,130.0
60913,19842,-266,-76,-3930,65,-103.0,111.0
60929,19843,-168,-126,-3919,38,-16.0,88.0
60945,19844,-350,-91,-3934,23,-36.0,99.0
60961,19845,-339,-120,-3872,-35,-170.0,110.0
60977,19846,-212,-150,-3854,17,-162.0,116.0
60993,19847,-194,-130,-3815,126,-67.0,106.0
61009,19848,-212,-107,-3963,163,-63.0,101.0
61025,19849,-263,-94,-4023,111,-176.0,94.0
61041,19850,-226,-91,-4007,7,-261.0,93.0
61057,19851,-186,-102,-4023,-43,-297.0,93.0
61073,19852,-156,-90,-3943,-55,-285.0,73.0
61089,19853,-77,-78,-3912,-70,-192.0,55.0
61105,19854,-91,-83,-3943,-60,-68.0,30.0
61121,19855,-206,-54,-3897,-86,-115.0,13.0
61137,19856,-267,-182,-3865,-39,-479.0,-16.0
61153,19857,190,-58,-3677,-2,160.0,-176.0
61169,19858,-525,-129,-3840,-8,185.0,50.0
61185,19859,-280,-135,-3890,0,-248.0,18.0
61201,19860,-187,-111,-3899,-12,-317.0,3.0
61217,19861,-131,-121,-3869,-25,-259.0,29.0
61233,19862,-144,-161,-3908,32,-163.0,-26.0
61249,19863,-161,-126,-3979,89,-106.0,-9.0
61265,19864,-154,-103,-3994,46,-36.0,5.0
61281,19865,-148,-77,-3923,-27,35.0,4.0
61297,19866,-178,-149,-3896,-1,-21.0,8.0
61313,19867,-158,-138,-3963,34,13.0,-3.0
61329,19868,-182,-124,-3971,-30,44.0,-12.0
61345,19869,-226,-145,-3936,-60,49.0,-21.0
61361,19870,-254,-133,-3894,-54,0.0,16.0
61377,19871,-190,-156,-3926,-54,-6.0,18.0
61393,19872,-172,-139,-3935,-74,68.0,31.0
61409,19873,-253,-153,-3879,-79,-7.0,9.0
61425,19874,-251,-120,-3841,-51,-180.0,14.0
61441,19875,-197,-124,-3872,-40,-239.0,0.0
61457,19876,-112,-160,-3881,-22,-170.0,-14.0
61473,19877,-81,-168,-3864,27,-19.0,-38.0
61489,19878,-196,-138,-3929,43,39.0,-27.0
61505,19879,-302,-121,-3943,-7,-23.0,-19.0
61521,19880,-219,-136,-3895,-58,-108.0,-8.0
61537,19881,-162,-201,-3822,-20,-103.0,-6.0
61553,19882,-110,-197,-3831,51,-1.0,-27.0
61569,19883,-204,-141,-3940,77,67.0,-41.0
61585,19884,-241,-136,-3919,38,65.0,-30.0
61601,19885,-192,-145,-3883,19,78.0,-39.0
61617,19886,-119,-121,-3888,61,184.0,-63.0
61634,19887,-68,-132,-3967,82,417.0,-89.0
61649,19888,-143,-158,-4023,43,567.0,-133.0
61665,19889,-245,-152,-4061,25,581.0,-145.0
61681,19890,-488,-175,-4102,12,425.0,-136.0
61697,19891,-555,-140,-4109,-74,116.0,-107.0
61713,19892,-450,-154,-4062,-118,-60.0,-105.0
61730,19893,-433,-157,-4007,-104,-114.0,-79.0
61745,19894,-388,-191,-3912,-71,-133.0,-89.0
