Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
23169,13387,-1299,-425,-3784,43,-218.0,103.0
23185,13388,-1226,-470,-3720,115,-213.0,84.0
23201,13389,-1234,-552,-3757,161,-136.0,38.0
23217,13390,-1299,-520,-3763,172,-129.0,4.0
23233,13391,-1381,-500,-3765,247,-154.0,27.0
23249,13392,-1374,-486,-3798,239,-253.0,68.0
23265,13393,-1368,-556,-3846,264,-300.0,81.0
23281,13394,-1313,-494,-3902,294,-282.0,66.0
23297,13395,-1320,-483,-3951,297,-188.0,80.0
23314,13396,-1354,-473,-3959,259,-166.0,92.0
23329,13397,-1351,-475,-3941,223,-208.0,89.0
23345,13398,-1322,-462,-3961,201,-258.0,79.0
23361,13399,-1286,-476,-3995,186,-238.0,77.0
23377,13400,-1276,-417,-3969,181,-212.0,101.0
23393,13401,-1261,-410,-3997,166,-164.0,82.0
23409,13402,-1325,-467,-3895,102,-241.0,55.0
23425,13403,-1342,-444,-4003,63,-249.0,58.0
23441,13404,-1368,-438,-4023,75,-225.0,69.0
23457,13405,-1316,-470,-4020,31,-247.0,89.0
23473,13406,-1327,-475,-3850,11,-232.0,92.0
23490,13407,-1316,-434,-3934,7,-257.0,79.0
23505,13408,-1346,-483,-3871,10,-232.0,85.0
23521,13409,-1324,-480,-3869,52,-208.0,72.0
23537,13410,-1304,-477,-3821,87,-218.0,82.0
23553,13411,-1355,-471,-3825,116,-176.0,82.0
23569,13412,-1338,-479,-3806,134,-161.0,86.0
23585,13413,-1345,-483,-3745,137,-267.0,87.0
23601,13414,-1338,-466,-3723,126,-330.0,64.0
23617,13415,-1232,-464,-3811,134,-273.0,33.0
23633,13416,-1377,-453,-3794,156,-201.0,40.0
23649,13417,-1358,-468,-3852,151,-208.0,51.0
23665,13418,-1357,-473,-3779,142,-250.0,64.0
23681,13419,-1357,-485,-3787,130,-297.0,68.0
23697,13420,-1309,-504,-3805,165,-246.0,56.0
23713,13421,-1299,-482,-3838,203,-184.0,62.0
23729,13422,-1362,-455,-3813,210,-191.0,65.0
23745,13423,-1337,-485,-3846,208,-205.0,50.0
23761,13424,-1355,-474,-3822,220,-234.0,48.0
23777,13425,-1342,-394,-3851,192,-259.0,56.0
23793,13426,-1377,-417,-3836,177,-264.0,65.0
23809,13427,-1335,-450,-3825,191,-274.0,72.0
23825,13428,-1273,-466,-3848,222,-181.0,78.0
23841,13429,-1321,-451,-3845,239,-156.0,78.0
23857,13430,-1355,-446,-3773,243,-270.0,49.0
23873,13431,-1330,-438,-3882,231,-317.0,49.0
23889,13432,-1348,-472,-3889,212,-260.0,50.0
23905,13433,-1348,-446,-3897,192,-178.0,80.0
23921,13434,-1385,-435,-3784,157,-242.0,86.0
23937,13435,-1304,-476,-3774,147,-347.0,68.0
23953,13436,-1199,-438,-3805,201,-282.0,41.0
23969,13437,-1271,-475,-3820,265,-188.0,32.0
23985,13438,-1342,-511,-3769,224,-207.0,26.0
24001,13439,-1287,-414,-3725,143,-298.0,39.0
24017,13440,-1237,-508,-3718,33,-388.0,-4.0
24033,13441,-1179,-470,-3692,17,-407.0,-45.0
24049,13442,-1192,-527,-3673,-80,-382.0,-79.0
24065,13443,-1124,-508,-3812,47,-289.0,-117.0
24081,13444,-1190,-583,-3979,73,-362.0,-114.0
24097,13445,-1272,-628,-4305,-105,-411.0,-48.0
24113,13446,-1338,-492,-4374,-275,-385.0,57.0
24129,13447,-1374,-469,-4380,23,-414.0,-23.0
24145,13448,-1303,-427,-4639,231,-29.0,115.0
24161,13449,-1391,-308,-4807,133,354.0,45.0
24177,13450,-1521,-538,-5111,-522,399.0,-59.0
24193,13451,-1733,-388,-5544,-1167,75.0,-116.0
24209,13452,-1953,-503,-5652,-1589,-242.0,-22.0
24225,13453,-1849,-576,-5608,-1746,-505.0,35.0
24241,13454,-1807,-596,-5391,-1381,-511.0,-1.0
24257,13455,-1810,-561,-5284,-1132,-279.0,62.0
24273,13456,-1786,-540,-5333,-1248,-85.0,112.0
24289,13457,-1981,-560,-5265,-1664,93.0,376.0
24305,13458,-1860,-683,-5157,-1923,-28.0,502.0
24321,13459,-1691,-771,-5064,-2067,-145.0,558.0
24337,13460,-1442,-789,-4933,-1872,-127.0,425.0
24353,13461,-1558,-850,-4783,-1853,-198.0,454.0
24369,13462,-1609,-796,-4631,-1928,-150.0,513.0
24385,13463,-1433,-911,-4586,-1974,-121.0,583.0
24401,13464,-1354,-909,-4617,-2062,67.0,647.0
24417,13465,-1399,-1051,-4522,-2058,88.0,664.0
24433,13466,-1357,-1011,-4327,-2034,28.0,634.0
24449,13467,-1358,-1107,-4108,-2162,-57.0,567.0
24465,13468,-1430,-1094,-3845,-2399,-90.0,597.0
24481,13469,-1267,-1132,-3396,-2449,-56.0,661.0
24497,13470,-1319,-1157,-2670,-2410,-199.0,681.0
24513,13471,-1254,-1262,-2151,-2254,-510.0,692.0
24529,13472,-1275,-1564,-1928,-2042,-716.0,654.0
24545,13473,-1059,-1456,-1798,-1701,-612.0,666.0
24561,13474,-812,-1563,-1848,-1435,-117.0,546.0
24577,13475,-1062,-1665,-1887,-1227,122.0,504.0
24593,13476,-1021,-1804,-1967,-1185,-9.0,476.0
24609,13477,-1005,-1875,-1982,-1146,-196.0,349.0
24625,13478,-1023,-1908,-1938,-1127,-239.0,272.0
24641,13479,-1215,-2061,-2062,-949,-47.0,206.0
24657,13480,-1354,-2033,-2125,-747,354.0,277.0
24673,13481,-1572,-2158,-2067,-658,273.0,325.0
24689,13482,-1597,-2177,-2264,-590,15.0,287.0
24705,13483,-1842,-2270,-2575,-537,-115.0,264.0
24721,13484,-2077,-2290,-2995,-490,-3.0,306.0
24737,13485,-2316,-2266,-3382,-624,354.0,374.0
24753,13486,-3073,-2299,-3706,-681,400.0,602.0
24769,13487,-3456,-2381,-3709,-823,-111.0,991.0
24785,13488,-3316,-2245,-3830,-881,-420.0,1327.0
24801,13489,-3009,-2173,-3585,-934,-410.0,1532.0
24817,13490,-2865,-2268,-3420,-1053,-108.0,1709.0
24833,13491,-2721,-2386,-3131,-1118,287.0,1941.0
24849,13492,-2830,-2159,-2827,-1041,217.0,2165.0
24866,13493,-2716,-2081,-2548,-994,-177.0,2426.0
24881,13494,-2350,-2140,-2390,-913,-109.0,2562.0
24897,13495,-1704,-2207,-2219,-861,461.0,2667.0
24913,13496,-1717,-2299,-1908,-719,1073.0,2674.0
24929,13497,-1911,-2265,-1540,-642,661.0,2876.0
24945,13498,-1441,-2192,-1275,-328,100.0,3048.0
24961,13499,-766,-2150,-1261,26,361.0,2975.0
24977,13500,-258,-2354,-1256,368,1401.0,2733.0
24993,13501,-582,-2372,-1160,488,1704.0,2681.0
25009,13502,-942,-2238,-959,404,976.0,2788.0
25025,13503,-506,-2128,-830,319,229.0,2788.0
25041,13504,265,-2303,-912,722,599.0,2644.0
25057,13505,444,-2384,-1081,1518,1787.0,2429.0
25073,13506,212,-2262,-934,1828,2255.0,2249.0
25089,13507,-117,-2022,-831,1812,1387.0,2272.0
25105,13508,165,-2002,-848,1782,167.0,2288.0
25121,13509,997,-2068,-1415,1786,134.0,1998.0
25137,13510,1095,-1864,-1829,1970,1092.0,1611.0
25153,13511,570,-1900,-2007,1764,1324.0,1448.0
25169,13512,866,-1804,-1711,1407,757.0,1336.0
25186,13513,1218,-2246,-1825,1373,156.0,1104.0
25201,13514,1458,-2186,-2384,2284,540.0,697.0
25217,13515,1061,-1946,-2466,3121,798.0,430.0
25233,13516,646,-1435,-2472,3135,326.0,386.0
25249,13517,1294,-1765,-2734,3219,213.0,208.0
25265,13518,1710,-1708,-3063,3267,697.0,-126.0
25281,13519,1362,-1305,-3135,3309,420.0,-517.0
25297,13520,1222,-1141,-3169,3119,-528.0,-740.0
25313,13521,1170,-1332,-3545,3103,-1155.0,-851.0
25329,13522,1574,-1455,-4100,3527,-636.0,-1049.0
25345,13523,1675,-1206,-4083,3668,123.0,-1349.0
25361,13524,1187,-871,-3916,3521,-296.0,-1647.0
25377,13525,1035,-652,-4054,3245,-1390.0,-1819.0
25393,13526,1657,-530,-4358,3466,-1548.0,-1891.0
25409,13527,2386,-188,-4491,3681,-940.0,-2247.0
25425,13528,1477,-179,-4859,4064,-967.0,-2808.0
25441,13529,835,-659,-5712,4397,-754.0,-3212.0
25457,13530,430,-497,-6315,3998,-660.0,-2906.0
25473,13531,1024,-40,-6402,3245,-296.0,-3029.0
25489,13532,1029,415,-5720,2401,-593.0,-3377.0
25505,13533,636,535,-5215,2035,-2036.0,-3604.0
25521,13534,500,-16,-6152,2630,-1783.0,-4024.0
25537,13535,-25,200,-6485,2490,-825.0,-3830.0
25553,13536,351,588,-6105,1844,-308.0,-3862.0
25569,13537,197,776,-5583,1382,-799.0,-4036.0
25586,13538,-120,942,-5228,1160,-2070.0,-3897.0
25601,13539,285,650,-5869,1465,-2221.0,-3982.0
25617,13540,450,575,-6565,1803,-952.0,-4298.0
25633,13541,-305,719,-6775,1574,-297.0,-4475.0
25649,13542,-938,805,-6791,1056,-644.0,-4328.0
25665,13543,-617,820,-6974,455,-898.0,-4252.0
25681,13544,-395,805,-7164,78,-808.0,-4399.0
25697,13545,-569,690,-7536,-259,-580.0,-4725.0
25713,13546,-1257,521,-7998,-517,-445.0,-4804.0
25729,13547,-1598,699,-8021,-769,-845.0,-4335.0
25745,13548,-1289,936,-7948,-1516,-1015.0,-3891.0
25761,13549,-1250,769,-7739,-2090,-707.0,-3820.0
25777,13550,-1516,782,-7457,-2319,-324.0,-3783.0
25793,13551,-1861,1020,-6961,-2682,-86.0,-3628.0
25809,13552,-2137,1020,-6348,-3002,-228.0,-3285.0
25825,13553,-2117,767,-6218,-2994,-311.0,-2968.0
25841,13554,-2053,985,-5851,-3132,26.0,-2736.0
25857,13555,-1881,917,-5600,-3397,458.0,-2614.0
25873,13556,-2071,852,-5186,-3587,820.0,-2492.0
25889,13557,-2574,757,-4709,-3793,648.0,-2137.0
25905,13558,-2730,553,-4371,-3749,228.0,-1592.0
25921,13559,-2329,382,-4232,-3512,493.0,-1307.0
25937,13560,-2049,163,-3981,-3244,1265.0,-1193.0
25953,13561,-2161,-26,-3972,-3076,2117.0,-1144.0
25969,13562,-2795,46,-3707,-3234,1982.0,-775.0
25985,13563,-2775,0,-3391,-3431,1213.0,-210.0
26001,13564,-2475,-164,-3132,-3342,1002.0,22.0
26017,13565,-2313,-349,-2950,-3132,1529.0,46.0
26033,13566,-2697,-468,-2542,-2976,1940.0,237.0
26049,13567,-2822,-582,-2245,-2814,1881.0,619.0
26065,13568,-2587,-661,-2102,-2661,1710.0,942.0
26081,13569,-2408,-808,-2070,-2219,1734.0,1156.0
26097,13570,-2181,-1063,-2198,-1754,2030.0,1243.0
26113,13571,-2366,-1082,-2148,-1462,2419.0,1423.0
26129,13572,-2658,-1105,-1980,-1463,2273.0,1724.0
26145,13573,-2464,-1185,-1873,-1402,1822.0,2106.0
26162,13574,-1721,-1418,-2105,-1115,2015.0,2176.0
26177,13575,-1234,-1269,-2136,-847,2607.0,2064.0
26193,13576,-1777,-1377,-2089,-913,2360.0,1948.0
26209,13577,-2219,-1491,-2059,-1274,1235.0,2251.0
26225,13578,-1657,-1744,-2013,-1127,1036.0,2409.0
26241,13579,-1438,-1976,-1893,-492,1592.0,2464.0
26257,13580,-1624,-2199,-1999,297,2074.0,2524.0
26273,13581,-1802,-2257,-2054,678,1856.0,2877.0
26289,13582,-1599,-2149,-2153,589,1276.0,3005.0
26305,13583,-1342,-2086,-2343,401,995.0,3011.0
26321,13584,-634,-2190,-2229,384,1405.0,2933.0
26337,13585,-607,-2341,-2071,553,1856.0,2757.0
26353,13586,-678,-2287,-1886,773,1680.0,2763.0
26369,13587,-637,-2393,-1666,870,1258.0,2811.0
26385,13588,-35,-2478,-1861,1017,1284.0,2773.0
26401,13589,513,-2536,-2177,1261,1691.0,2573.0
26417,13590,914,-2598,-2442,1383,1609.0,2357.0
26433,13591,1400,-2629,-2752,1240,1162.0,2071.0
26449,13592,1857,-2634,-2920,1143,924.0,1636.0
26465,13593,1858,-2736,-3232,912,598.0,1074.0
26481,13594,1502,-2773,-3383,536,177.0,709.0
26497,13595,1058,-2975,-3199,123,-445.0,535.0
26513,13596,896,-3064,-3042,31,-823.0,333.0
26529,13597,765,-3081,-2998,159,-640.0,71.0
26545,13598,298,-3131,-2857,313,-340.0,-116.0
26561,13599,-69,-3115,-2788,429,-430.0,-128.0
26577,13600,-288,-3088,-2861,467,-654.0,-176.0
26593,13601,-525,-2938,-2854,564,-787.0,-149.0
26609,13602,-543,-3036,-2966,690,-850.0,-203.0
26625,13603,-584,-3021,-3282,777,-545.0,-319.0
26641,13604,-971,-2824,-3297,786,-267.0,-326.0
